Id,PlayerType,MonthType,MonthTypeV,W,L,ERA,G,GS,SV,IP,BF,H,R,ER,HR,BB,SO,WHIP,PA,AB,R,H,2B,3B,HR,RBI,BB,SO,SB,CS,HBP,AVG,OBP,SLG,OPS
592669,Batter,Extra Innings,9,,,,,,,,,,,,,,,,11,9,3,5,0,1,1,6,0,0,0,0,0,.556,.500,1.111,1.611
592669,Batter,Ninth Inning,8,,,,,,,,,,,,,,,,47,44,6,11,3,0,3,4,2,11,0,0,0,.250,.283,.523,.806
592669,Batter,Fourth Inning,3,,,,,,,,,,,,,,,,67,63,7,19,4,0,4,11,4,15,0,0,0,.302,.343,.556,.899
592669,Batter,Seventh Inning,6,,,,,,,,,,,,,,,,57,55,10,16,2,0,5,10,2,12,0,0,0,.291,.316,.600,.916
592669,Batter,Second Inning,1,,,,,,,,,,,,,,,,70,63,7,13,1,0,4,8,7,19,0,1,0,.206,.286,.413,.699
592669,Batter,Fifth Inning,4,,,,,,,,,,,,,,,,56,49,12,15,3,0,4,7,7,13,0,0,0,.306,.393,.612,1.005
592669,Batter,Sixth Inning,5,,,,,,,,,,,,,,,,57,54,6,12,1,0,2,3,2,12,0,0,1,.222,.263,.352,.615
592669,Batter,First Inning,0,,,,,,,,,,,,,,,,58,46,3,7,1,0,1,4,8,14,1,0,3,.152,.310,.239,.549
592669,Batter,Third Inning,2,,,,,,,,,,,,,,,,44,41,2,13,4,0,2,12,2,9,0,0,0,.317,.341,.561,.902
592669,Batter,Eighth Inning,7,,,,,,,,,,,,,,,,55,50,6,10,4,0,3,7,5,16,0,0,0,.200,.273,.460,.733
669257,Batter,Extra Innings,9,,,,,,,,,,,,,,,,10,9,0,1,0,0,0,1,1,2,0,0,0,.111,.200,.111,.311
669257,Batter,Ninth Inning,8,,,,,,,,,,,,,,,,38,34,2,12,2,0,1,1,3,5,0,0,1,.353,.421,.500,.921
669257,Batter,Fourth Inning,3,,,,,,,,,,,,,,,,81,71,15,24,4,1,3,9,8,9,0,0,2,.338,.420,.549,.969
669257,Batter,Seventh Inning,6,,,,,,,,,,,,,,,,62,49,7,5,1,0,2,5,11,13,0,0,1,.102,.274,.245,.519
669257,Batter,Second Inning,1,,,,,,,,,,,,,,,,46,43,6,10,2,0,3,6,3,11,0,0,0,.233,.283,.488,.771
669257,Batter,Fifth Inning,4,,,,,,,,,,,,,,,,56,47,5,9,3,0,1,6,5,13,1,0,2,.191,.286,.319,.605
669257,Batter,Sixth Inning,5,,,,,,,,,,,,,,,,67,61,7,14,5,0,2,11,4,10,0,0,2,.230,.299,.410,.709
669257,Batter,First Inning,0,,,,,,,,,,,,,,,,94,84,11,23,5,0,7,26,9,19,0,0,1,.274,.351,.583,.934
669257,Batter,Third Inning,2,,,,,,,,,,,,,,,,56,50,4,15,2,1,1,8,6,11,0,0,0,.300,.375,.440,.815
669257,Batter,Eighth Inning,7,,,,,,,,,,,,,,,,68,60,11,19,2,1,4,14,6,3,0,0,1,.317,.382,.583,.965
672386,Batter,Extra Innings,9,,,,,,,,,,,,,,,,6,3,1,0,0,0,0,0,3,0,0,0,0,.000,.500,.000,.500
672386,Batter,Ninth Inning,8,,,,,,,,,,,,,,,,43,36,2,11,0,0,0,1,7,7,0,0,0,.306,.419,.306,.725
672386,Batter,Fourth Inning,3,,,,,,,,,,,,,,,,65,56,5,18,2,0,1,4,8,7,0,0,0,.321,.400,.411,.811
672386,Batter,Seventh Inning,6,,,,,,,,,,,,,,,,51,45,7,17,2,0,4,12,5,2,0,0,0,.378,.431,.689,1.120
672386,Batter,Second Inning,1,,,,,,,,,,,,,,,,63,55,16,19,2,0,2,4,7,9,0,0,1,.345,.429,.491,.920
672386,Batter,Fifth Inning,4,,,,,,,,,,,,,,,,51,46,6,14,7,0,1,6,4,0,0,0,1,.304,.373,.522,.895
672386,Batter,Sixth Inning,5,,,,,,,,,,,,,,,,72,65,7,18,1,0,2,9,7,11,0,0,0,.277,.347,.385,.732
672386,Batter,First Inning,0,,,,,,,,,,,,,,,,61,54,3,12,3,0,1,10,7,10,0,0,0,.222,.311,.333,.644
672386,Batter,Third Inning,2,,,,,,,,,,,,,,,,54,46,6,14,1,0,2,11,5,3,0,0,2,.304,.389,.457,.846
672386,Batter,Eighth Inning,7,,,,,,,,,,,,,,,,75,64,6,11,1,0,1,6,10,9,0,0,0,.172,.280,.234,.514
571448,Batter,Extra Innings,9,,,,,,,,,,,,,,,,8,6,2,0,0,0,0,0,1,1,0,0,1,.000,.250,.000,.250
571448,Batter,Ninth Inning,8,,,,,,,,,,,,,,,,49,40,6,12,5,0,3,9,8,12,1,0,1,.300,.429,.650,1.079
571448,Batter,Fourth Inning,3,,,,,,,,,,,,,,,,85,81,8,23,5,0,3,7,4,8,0,2,0,.284,.318,.457,.775
571448,Batter,Seventh Inning,6,,,,,,,,,,,,,,,,58,52,4,14,4,0,2,11,5,9,2,0,0,.269,.328,.462,.790
571448,Batter,Second Inning,1,,,,,,,,,,,,,,,,50,46,9,13,2,0,4,9,3,2,0,0,0,.283,.320,.587,.907
571448,Batter,Fifth Inning,4,,,,,,,,,,,,,,,,50,44,2,10,1,0,1,5,4,6,0,0,2,.227,.320,.318,.638
571448,Batter,Sixth Inning,5,,,,,,,,,,,,,,,,82,74,14,30,9,0,5,17,7,6,1,0,1,.405,.463,.730,1.193
571448,Batter,First Inning,0,,,,,,,,,,,,,,,,111,100,14,34,12,1,6,26,10,9,0,0,0,.340,.396,.660,1.056
571448,Batter,Third Inning,2,,,,,,,,,,,,,,,,67,62,5,13,1,0,3,11,4,9,1,1,1,.210,.269,.371,.640
571448,Batter,Eighth Inning,7,,,,,,,,,,,,,,,,60,52,9,14,3,0,3,8,6,10,0,0,1,.269,.350,.500,.850
664761,Batter,Extra Innings,9,,,,,,,,,,,,,,,,11,9,0,2,0,0,0,4,0,2,0,0,0,.222,.182,.222,.404
664761,Batter,Ninth Inning,8,,,,,,,,,,,,,,,,56,52,6,14,2,0,1,3,2,10,0,0,1,.269,.304,.365,.669
664761,Batter,Fourth Inning,3,,,,,,,,,,,,,,,,82,78,11,31,4,0,3,12,4,9,0,1,0,.397,.427,.564,.991
664761,Batter,Seventh Inning,6,,,,,,,,,,,,,,,,59,53,2,5,0,0,1,6,3,16,1,0,1,.094,.153,.151,.304
664761,Batter,Second Inning,1,,,,,,,,,,,,,,,,66,64,9,20,3,1,0,5,2,10,0,0,0,.313,.333,.391,.724
664761,Batter,Fifth Inning,4,,,,,,,,,,,,,,,,61,58,9,19,4,2,0,8,2,8,0,1,0,.328,.344,.466,.810
664761,Batter,Sixth Inning,5,,,,,,,,,,,,,,,,76,65,11,17,4,0,3,11,8,18,0,0,0,.262,.329,.462,.791
664761,Batter,First Inning,0,,,,,,,,,,,,,,,,82,77,10,21,2,0,1,7,3,16,1,0,1,.273,.305,.338,.643
664761,Batter,Third Inning,2,,,,,,,,,,,,,,,,65,62,10,18,4,0,3,12,3,7,0,0,0,.290,.323,.500,.823
664761,Batter,Eighth Inning,7,,,,,,,,,,,,,,,,73,68,11,17,1,0,1,4,4,14,0,1,1,.250,.301,.309,.610
630105,Batter,Extra Innings,9,,,,,,,,,,,,,,,,6,5,4,2,0,0,1,4,0,0,0,0,1,.400,.500,1.000,1.500
