MatchId,InferenceResult
1215,WIN
1214,WIN
1213,WIN
1212,WIN
1211,WIN
1210,WIN
800,WIN
801,WIN
802,WIN
803,LOSE
804,WIN
805,WIN
806,WIN
807,WIN
808,WIN
809,WIN
1000,LOSE
810,WIN
811,WIN
812,WIN
813,WIN
814,WIN
815,WIN
816,WIN
817,WIN
818,WIN
819,WIN
1011,WIN
1010,WIN
1008,LOSE
1007,WIN
1006,WIN
1005,WIN
1004,WIN
1003,WIN
820,WIN
1002,WIN
821,WIN
1001,WIN
822,WIN
823,WIN
824,WIN
825,LOSE
826,WIN
827,WIN
828,WIN
829,LOSE
1009,WIN
1022,WIN
1021,WIN
1020,WIN
1019,WIN
1018,WIN
1017,WIN
1016,WIN
1015,WIN
830,WIN
1014,WIN
831,WIN
1013,WIN
832,WIN
1012,WIN
833,WIN
834,WIN
835,WIN
836,WIN
837,WIN
838,WIN
839,WIN
1033,WIN
1032,WIN
1031,WIN
1030,WIN
1029,WIN
1028,WIN
1027,WIN
840,WIN
1026,WIN
841,WIN
1025,WIN
600,WIN
842,WIN
1024,LOSE
601,WIN
843,WIN
1023,WIN
602,WIN
844,WIN
603,WIN
845,WIN
604,LOSE
846,WIN
605,WIN
847,WIN
606,WIN
848,WIN
607,WIN
849,LOSE
608,WIN
609,WIN
1044,WIN
1043,WIN
1042,WIN
1041,WIN
1040,WIN
1039,WIN
850,WIN
1038,WIN
851,WIN
1037,WIN
610,WIN
852,WIN
1036,WIN
611,WIN
853,LOSE
1035,WIN
612,WIN
854,WIN
1034,WIN
613,WIN
855,WIN
614,WIN
856,WIN
615,WIN
857,WIN
616,WIN
858,WIN
617,WIN
859,WIN
618,WIN
619,WIN
1055,WIN
1054,WIN
1053,WIN
1052,WIN
1051,WIN
1050,WIN
860,WIN
861,WIN
1049,WIN
620,WIN
862,WIN
1048,WIN
621,WIN
863,WIN
1047,WIN
622,WIN
864,WIN
1046,WIN
623,WIN
865,WIN
1045,WIN
624,WIN
866,WIN
625,WIN
867,WIN
626,WIN
868,WIN
627,WIN
869,WIN
628,WIN
629,WIN
1066,WIN
1065,WIN
1064,LOSE
1063,WIN
1062,WIN
1061,WIN
1060,WIN
870,WIN
871,WIN
630,WIN
872,WIN
631,WIN
873,WIN
1059,WIN
632,WIN
874,WIN
1058,WIN
633,WIN
875,WIN
1057,WIN
634,WIN
876,WIN
1056,WIN
635,WIN
877,WIN
636,WIN
878,WIN
637,WIN
879,WIN
638,WIN
639,WIN
1077,WIN
