savant_id,schedule_id,savant_uri,schedule_url,savant_name,schedule_name,savant_team,schedule_team,official_name,full_name
0,547989,Abreu_Jose,https://www.mlb.com/player/547989,Jose Abreu,Abreu J,Chicago White Sox,Chicago White Sox,Jose Abreu,Jose Dariel Abreu
1,660670,Acuna_Jr_Ronald,https://www.mlb.com/player/660670,Ronald Acuna Jr,Acuna Jr.,Atlanta Braves,Atlanta Braves,Ronald Acuna Jr.,Ronald Jose Acuna Jr.
2,642715,Adames_Willy,https://www.mlb.com/player/642715,Willy Adames,Adames,Milwaukee Brewers,Milwaukee Brewers,Willy Adames,Willy Rafael Adames
3,542583,Aguilar_Jesus,https://www.mlb.com/player/542583,Jesus Aguilar,Aguilar,Miami Marlins,Baltimore Orioles,Jesus Aguilar,Jesus Alexander Aguilar
4,645261,Alcantara_Sandy,https://www.mlb.com/player/645261,Sandy Alcantara,Alcantara S,Miami Marlins,Miami Marlins,Sandy Alcantara,Sandy Alcantara
5,624413,Alonso_Pete,https://www.mlb.com/player/624413,Pete Alonso,Alonso,New York Mets,New York Mets,Pete Alonso,Peter Morgan Alonso
6,514888,Altuve_Jose,https://www.mlb.com/player/514888,Jose Altuve,Altuve,Houston Astros,Houston Astros,Jose Altuve,Jose Carlos Altuve
7,670541,Alvarez_Yordan,https://www.mlb.com/player/670541,Yordan Alvarez,Alvarez Y,Houston Astros,Houston Astros,Yordan Alvarez,Yordan Ruben Alvarez
8,542881,Anderson_Tyler,https://www.mlb.com/player/542881,Tyler Anderson,Anderson,Los Angeles Dodgers,Los Angeles Dodgers,Tyler Anderson,Tyler John Anderson
9,462101,Andrus_Elvis,https://www.mlb.com/player/462101,Elvis Andrus,Andrus,Oakland Athletics,Chicago White Sox,Elvis Andrus,Elvis Augusto Andrus
10,571448,Arenado_Nolan,https://www.mlb.com/player/571448,Nolan Arenado,Arenado,St. Louis Cardinals,St. Louis Cardinals,Nolan Arenado,Nolan James Arenado
11,668227,Arozarena_Randy,https://www.mlb.com/player/668227,Randy Arozarena,Arozarena,Tampa Bay Rays,Tampa Bay Rays,Randy Arozarena,Randy Arozarena
12,650333,Arraez_Luis,https://www.mlb.com/player/650333,Luis Arraez,Arraez,Minnesota Twins,Minnesota Twins,Luis Arraez,Luis Sangel Arraez
13,595879,Baez_Javier,https://www.mlb.com/player/595879,Javier Baez,Baez J,Detroit Tigers,Detroit Tigers,Javier Baez,Ednel Javier Baez
14,605135,Bassitt_Chris,https://www.mlb.com/player/605135,Chris Bassitt,Bassitt,New York Mets,New York Mets,Chris Bassitt,Christopher M. Bassitt
15,641355,Bellinger_Cody,https://www.mlb.com/player/641355,Cody Bellinger,Bellinger,Los Angeles Dodgers,Los Angeles Dodgers,Cody Bellinger,Cody James Bellinger
16,605137,Bell_Josh,https://www.mlb.com/player/605137,Josh Bell,Bell,Washington Nationals,San Diego Padres,Josh Bell,Joshua Evan Bell
17,643217,Benintendi_Andrew,https://www.mlb.com/player/643217,Andrew Benintendi,Benintendi,Kansas City Royals,New York Yankees,Andrew Benintendi,Andrew Sebastian Benintendi
18,621244,Berrios_Jose,https://www.mlb.com/player/621244,Jose Berrios,Berrios,Toronto Blue Jays,Toronto Blue Jays,Jose Berrios,Jose Orlando Berrios
19,605141,Betts_Mookie,https://www.mlb.com/player/605141,Mookie Betts,Betts,Los Angeles Dodgers,Los Angeles Dodgers,Mookie Betts,Markus Lynn Betts
20,666182,Bichette_Bo,https://www.mlb.com/player/666182,Bo Bichette,Bichette,Toronto Blue Jays,Toronto Blue Jays,Bo Bichette,Bo Joseph Bichette
21,669456,Bieber_Shane,https://www.mlb.com/player/669456,Shane Bieber,Bieber,Cleveland Guardians,Cleveland Guardians,Shane Bieber,Shane Robert Bieber
22,453568,Blackmon_Charlie,https://www.mlb.com/player/453568,Charlie Blackmon,Blackmon,Colorado Rockies,Colorado Rockies,Charlie Blackmon,Charles Cobb Blackmon
23,593428,Bogaerts_Xander,https://www.mlb.com/player/593428,Xander Bogaerts,Bogaerts,Boston Red Sox,Boston Red Sox,Xander Bogaerts,Xander Jan Bogaerts
24,664761,Bohm_Alec,https://www.mlb.com/player/664761,Alec Bohm,Bohm,Philadelphia Phillies,Philadelphia Phillies,Alec Bohm,Alec Daniel Bohm
25,608324,Bregman_Alex,https://www.mlb.com/player/608324,Alex Bregman,Bregman,Houston Astros,Houston Astros,Alex Bregman,Alexander David Bregman
26,664913,Brown_Seth,https://www.mlb.com/player/664913,Seth Brown,Brown S,Oakland Athletics,Oakland Athletics,Seth Brown,Seth William Brown
27,669203,Burnes_Corbin,https://www.mlb.com/player/669203,Corbin Burnes,Burnes,Milwaukee Brewers,Milwaukee Brewers,Corbin Burnes,Corbin Brian Burnes
28,592192,Canha_Mark,https://www.mlb.com/player/592192,Mark Canha,Canha,New York Mets,New York Mets,Mark Canha,Mark David Canha
29,592206,Castellanos_Nick,https://www.mlb.com/player/592206,Nick Castellanos,Castellanos N,Philadelphia Phillies,Philadelphia Phillies,Nick Castellanos,Nicholas A. Castellanos
30,656302,Cease_Dylan,https://www.mlb.com/player/656302,Dylan Cease,Cease,Chicago White Sox,Chicago White Sox,Dylan Cease,Dylan Edward Cease
31,656305,Chapman_Matt,https://www.mlb.com/player/656305,Matt Chapman,Chapman M,Toronto Blue Jays,Toronto Blue Jays,Matt Chapman,Matt James Chapman
32,543037,Cole_Gerrit,https://www.mlb.com/player/543037,Gerrit Cole,Cole,New York Yankees,New York Yankees,Gerrit Cole,Gerrit Alan Cole
33,621043,Correa_Carlos,https://www.mlb.com/player/621043,Carlos Correa,Correa,Minnesota Twins,Minnesota Twins,Carlos Correa,Carlos Javier Correa
34,641487,Crawford_JP,https://www.mlb.com/player/641487,JP Crawford,Crawford J,Seattle Mariners,Seattle Mariners,J.P. Crawford,John Paul Crawford
35,630105,Cronenworth_Jake,https://www.mlb.com/player/630105,Jake Cronenworth,Cronenworth,San Diego Padres,San Diego Padres,Jake Cronenworth,Jacob John Cronenworth
36,543068,Cron_CJ,https://www.mlb.com/player/543068,CJ Cron,Cron,Colorado Rockies,Colorado Rockies,C.J. Cron,Christopher John Cron
37,443558,Cruz_Jr_Nelson,https://www.mlb.com/player/443558,Nelson Cruz Jr,Cruz N,Washington Nationals,Washington Nationals,Nelson Cruz,Nelson Ramon Cruz
38,506433,Darvish_Yu,https://www.mlb.com/player/506433,Yu Darvish,Darvish,San Diego Padres,San Diego Padres,Yu Darvish,Yu Darvish
39,646240,Devers_Rafael,https://www.mlb.com/player/646240,Rafael Devers,Devers,Boston Red Sox,Boston Red Sox,Rafael Devers,Rafael Calcano Devers
40,650490,Diaz_Yandy,https://www.mlb.com/player/650490,Yandy Diaz,Diaz Y,Tampa Bay Rays,Tampa Bay Rays,Yandy Diaz,Yandy Diaz
