BATTERS - LAA,AB,R,H,RBI,BB,SO,LOB,AVG,OPS
MarshRF,3,0,0,0,0,3,0,.250,.706
c-WardPH-RF,2,1,1,2,0,1,0,.375,1.231
TroutCF,4,2,1,0,1,2,0,.316,1.118
OhtaniDH,3,1,0,0,2,1,0,.230,.684
Rendon3B,5,2,2,2,0,1,2,.231,.757
Walsh1B-LF,5,2,3,4,0,1,0,.235,.669
"Rojas, JLF",3,0,0,0,0,2,1,.130,.347
d-SuzukiPH-1B,1,0,0,0,1,1,0,.194,.599
StassiC,4,2,1,2,0,0,3,.236,.729
Wade2B,2,0,0,0,0,2,0,.280,.673
a-FletcherPH-SS,2,0,0,0,0,0,1,.148,.503
"Velazquez, ASS",2,0,0,0,0,1,0,.137,.400
"b-Mayfield, JPH-2B",2,0,0,0,0,1,1,.244,.685
,38,10,8,10,4,16,8,,
