BATTERS - SD,AB,R,H,RBI,BB,SO,LOB,AVG,OPS
ProfarLF,4,0,1,0,0,0,3,.247,.756
"Machado, MDH",4,1,1,0,0,3,1,.327,.943
Cronenworth2B-1B,4,0,2,0,0,1,2,.248,.742
MazaraRF,2,0,1,1,1,0,1,.304,.817
a-AlfaroPH,1,0,0,0,0,1,1,.281,.793
AzocarRF,0,0,0,0,0,0,0,.241,.624
Hosmer1B,3,0,0,0,0,0,3,.277,.734
b-VoitPH,0,0,0,0,1,0,0,.231,.741
1-BattenPR-2B,0,0,0,0,0,0,0,.000,.000
"Nola, AuC",4,0,0,0,0,0,3,.235,.613
GrishamCF,4,0,1,0,0,1,1,.186,.602
Kim3B,3,0,0,0,1,1,0,.225,.658
AbramsSS,4,0,1,0,0,1,0,.209,.556
,33,1,7,1,3,8,15,,
