BATTERS - TB,AB,R,H,RBI,BB,SO,LOB,AVG,OPS
Aranda1B,4,1,0,0,1,1,1,.259,.779
"Ramírez, HDH",4,3,1,0,1,1,1,.306,.765
FrancoSS,4,2,2,0,1,0,0,.275,.725
ArozarenaLF,5,1,2,6,0,0,1,.271,.792
"Mejía, FC",0,0,0,0,0,0,0,.250,.666
MargotRF,3,0,1,1,1,0,0,.292,.737
Paredes3B,2,1,1,0,1,0,1,.222,.789
a-ChoiPH,0,0,0,0,1,0,0,.225,.705
1-WallsPR-3B,0,1,0,0,0,0,0,.172,.543
Mastrobuoni2B,4,1,2,0,0,1,1,.500,1.000
BethancourtC,3,0,1,1,0,0,2,.252,.702
b-PeraltaPH-LF,0,0,0,1,0,0,0,.248,.729
SiriCF,4,0,1,0,0,1,2,.215,.610
,33,10,11,9,6,4,9,,
