BATTERS - PHI,AB,R,H,RBI,BB,SO,LOB,AVG,OPS
SchwarberLF,3,3,2,2,2,1,0,.214,.801
1-GuthriePR-RF,0,0,0,0,0,0,0,.438,1.196
"b-Maton, NPH",1,0,0,0,0,1,1,.258,.925
Hoskins1B,5,2,2,0,0,1,1,.251,.813
"2-Munoz, YPR-3B",0,0,0,0,0,0,0,.211,.654
HarperDH,2,1,0,1,2,1,0,.290,.907
Bohm3B-1B,4,0,2,2,0,1,2,.291,.735
Segura2B,4,0,0,1,1,1,5,.276,.734
MarshCF,5,1,3,0,0,1,3,.244,.669
StottSS,5,0,0,0,0,2,3,.225,.630
VierlingRF-LF,5,0,0,0,0,1,2,.245,.634
StubbsC,3,0,0,0,0,1,1,.276,.845
a-RealmutoPH-C,2,0,1,1,0,1,0,.277,.827
,39,7,10,7,5,12,18,,
