,time,match
0,2022/04/07,Chicago Cubs VS. Milwaukee Brewers
1,2022/04/07,Atlanta Braves VS. Cincinnati Reds
2,2022/04/08,New York Yankees VS. Boston Red Sox
3,2022/04/08,Philadelphia Phillies VS. Oakland Athletics
4,2022/04/09,Detroit Tigers VS. Chicago White Sox
5,2022/04/09,Tampa Bay Rays VS. Baltimore Orioles
6,2022/04/09,New York Yankees VS. Boston Red Sox
7,2022/04/09,Washington Nationals VS. New York Mets
8,2022/04/09,Atlanta Braves VS. Cincinnati Reds
9,2022/04/10,Washington Nationals VS. New York Mets
10,2022/04/10,Toronto Blue Jays VS. Texas Rangers
11,2022/04/10,New York Yankees VS. Boston Red Sox
12,2022/04/11,Philadelphia Phillies VS. New York Mets
13,2022/04/11,Los Angeles Angels VS. Miami Marlins
14,2022/04/11,San Francisco Giants VS. San Diego Padres
15,2022/04/12,Tampa Bay Rays VS. Oakland Athletics
16,2022/04/12,Philadelphia Phillies VS. New York Mets
17,2022/04/12,San Francisco Giants VS. San Diego Padres
18,2022/04/13,Atlanta Braves VS. Washington Nationals
19,2022/04/13,Cincinnati Reds VS. Cleveland Guardians
20,2022/04/13,Pittsburgh Pirates VS. Chicago Cubs
21,2022/04/13,Arizona Diamondbacks VS. Houston Astros
22,2022/04/13,San Francisco Giants VS. San Diego Padres
23,2022/04/13,New York Yankees VS. Toronto Blue Jays
24,2022/04/13,Chicago White Sox VS. Seattle Mariners
25,2022/04/14,New York Yankees VS. Toronto Blue Jays
26,2022/04/14,Texas Rangers VS. Los Angeles Angels
27,2022/04/15,New York Mets VS. Arizona Diamondbacks
28,2022/04/16,New York Mets VS. Arizona Diamondbacks
29,2022/04/16,San Diego Padres VS. Atlanta Braves
30,2022/04/16,Texas Rangers VS. Los Angeles Angels
31,2022/04/16,Milwaukee Brewers VS. St. Louis Cardinals
32,2022/04/16,Colorado Rockies VS. Chicago Cubs
33,2022/04/16,Los Angeles Dodgers VS. Cincinnati Reds
34,2022/04/17,Baltimore Orioles VS. New York Yankees
35,2022/04/17,Boston Red Sox VS. Minnesota Twins
36,2022/04/17,Seattle Mariners VS. Houston Astros
37,2022/04/17,San Diego Padres VS. Atlanta Braves
38,2022/04/18,Boston Red Sox VS. Minnesota Twins
39,2022/04/18,Los Angeles Dodgers VS. Atlanta Braves
40,2022/04/19,New York Mets VS. San Francisco Giants
41,2022/04/19,Boston Red Sox VS. Toronto Blue Jays
42,2022/04/19,Los Angeles Dodgers VS. Atlanta Braves
43,2022/04/20,Los Angeles Dodgers VS. Atlanta Braves
44,2022/04/20,Colorado Rockies VS. Philadelphia Phillies
45,2022/04/20,New York Mets VS. San Francisco Giants
46,2022/04/20,Boston Red Sox VS. Toronto Blue Jays
47,2022/04/21,Cleveland Guardians VS. Chicago White Sox
48,2022/04/21,Detroit Tigers VS. New York Yankees
49,2022/04/21,Miami Marlins VS. St. Louis Cardinals
50,2022/04/21,Chicago Cubs VS. Pittsburgh Pirates
51,2022/04/21,Seattle Mariners VS. Texas Rangers
52,2022/04/22,Chicago Cubs VS. Pittsburgh Pirates
53,2022/04/23,New York Yankees VS. Cleveland Guardians
54,2022/04/23,Washington Nationals VS. San Francisco Giants
55,2022/04/23,Detroit Tigers VS. Colorado Rockies
56,2022/04/23,Minnesota Twins VS. Chicago White Sox
57,2022/04/23,Arizona Diamondbacks VS. New York Mets
58,2022/04/23,San Diego Padres VS. Los Angeles Dodgers
59,2022/04/24,Tampa Bay Rays VS. Boston Red Sox
60,2022/04/24,New York Yankees VS. Cleveland Guardians
61,2022/04/24,San Diego Padres VS. Los Angeles Dodgers
62,2022/04/24,Philadelphia Phillies VS. Milwaukee Brewers
63,2022/04/25,Toronto Blue Jays VS. Boston Red Sox
64,2022/04/25,St. Louis Cardinals VS. New York Mets
65,2022/04/26,St. Louis Cardinals VS. New York Mets
66,2022/04/26,Arizona Diamondbacks VS. Los Angeles Dodgers
67,2022/04/26,San Francisco Giants VS. Oakland Athletics
68,2022/04/27,St. Louis Cardinals VS. New York Mets
69,2022/04/27,New York Yankees VS. Baltimore Orioles
70,2022/04/27,Toronto Blue Jays VS. Boston Red Sox
71,2022/04/28,Philadelphia Phillies VS. Colorado Rockies
72,2022/04/28,Tampa Bay Rays VS. Seattle Mariners
73,2022/04/28,Atlanta Braves VS. Chicago Cubs
74,2022/04/28,St. Louis Cardinals VS. Arizona Diamondbacks
75,2022/04/30,Chicago White Sox VS. Los Angeles Angels
76,2022/04/30,New York Mets VS. Philadelphia Phillies
77,2022/05/01,Toronto Blue Jays VS. Houston Astros
78,2022/05/01,New York Mets VS. Philadelphia Phillies
79,2022/05/02,New York Mets VS. Atlanta Braves
80,2022/05/03,New York Mets VS. Atlanta Braves
81,2022/05/03,Toronto Blue Jays VS. New York Yankees
82,2022/05/03,Los Angeles Dodgers VS. San Francisco Giants
83,2022/05/04,New York Mets VS. Atlanta Braves
84,2022/05/04,Boston Red Sox VS. Los Angeles Angels
85,2022/05/05,Boston Red Sox VS. Los Angeles Angels
86,2022/05/05,Colorado Rockies VS. Washington Nationals
87,2022/05/05,Philadelphia Phillies VS. New York Mets
88,2022/05/05,San Francisco Giants VS. St. Louis Cardinals
89,2022/05/07,Cincinnati Reds VS. Pittsburgh Pirates
90,2022/05/07,Chicago Cubs VS. Los Angeles Dodgers
91,2022/05/07,Houston Astros VS. Detroit Tigers
92,2022/05/07,San Francisco Giants VS. St. Louis Cardinals
93,2022/05/07,Chicago Cubs VS. Los Angeles Dodgers
94,2022/05/08,Houston Astros VS. Detroit Tigers
95,2022/05/08,Chicago Cubs VS. Los Angeles Dodgers
96,2022/05/09,Baltimore Orioles VS. Kansas City Royals
97,2022/05/09,New York Yankees VS. Texas Rangers
98,2022/05/09,Chicago White Sox VS. Cleveland Guardians
99,2022/05/10,Oakland Athletics VS. Detroit Tigers
100,2022/05/10,Atlanta Braves VS. Boston Red Sox
101,2022/05/10,San Diego Padres VS. Chicago Cubs
102,2022/05/11,Cincinnati Reds VS. Milwaukee Brewers
103,2022/05/11,New York Yankees VS. Toronto Blue Jays
104,2022/05/11,Seattle Mariners VS. Philadelphia Phillies
105,2022/05/11,Los Angeles Angels VS. Tampa Bay Rays
106,2022/05/12,Washington Nationals VS. New York Mets
107,2022/05/12,Minnesota Twins VS. Houston Astros
108,2022/05/12,Chicago White Sox VS. New York Yankees
109,2022/05/14,Atlanta Braves VS. San Diego Padres
110,2022/05/14,Chicago White Sox VS. New York Yankees
111,2022/05/14,Los Angeles Dodgers VS. Philadelphia Phillies
112,2022/05/15,Tampa Bay Rays VS. Toronto Blue Jays
113,2022/05/15,St. Louis Cardinals VS. San Francisco Giants
114,2022/05/16,Boston Red Sox VS. Houston Astros
115,2022/05/17,New York Mets VS. St. Louis Cardinals
116,2022/05/17,Los Angeles Dodgers VS. Arizona Diamondbacks
117,2022/05/17,Boston Red Sox VS. Houston Astros
118,2022/05/17,Los Angeles Dodgers VS. Arizona Diamondbacks
119,2022/05/18,Milwaukee Brewers VS. Atlanta Braves
120,2022/05/18,Los Angeles Dodgers VS. Arizona Diamondbacks
121,2022/05/18,New York Mets VS. St. Louis Cardinals
122,2022/05/18,Chicago Cubs VS. Pittsburgh Pirates
123,2022/05/19,Philadelphia Phillies VS. San Diego Padres
124,2022/05/19,Boston Red Sox VS. Seattle Mariners
125,2022/05/20,Chicago Cubs VS. Arizona Diamondbacks
126,2022/05/21,New York Yankees VS. Chicago White Sox
127,2022/05/21,San Francisco Giants VS. San Diego Padres
128,2022/05/21,Los Angeles Angels VS. Oakland Athletics
129,2022/05/22,Philadelphia Phillies VS. Los Angeles Dodgers
130,2022/05/22,New York Yankees VS. Chicago White Sox
131,2022/05/23,Washington Nationals VS. Los Angeles Dodgers
132,2022/05/24,Cincinnati Reds VS. Chicago Cubs
133,2022/05/24,San Diego Padres VS. Milwaukee Brewers
134,2022/05/25,Pittsburgh Pirates VS. Colorado Rockies
135,2022/05/25,Minnesota Twins VS. Detroit Tigers
136,2022/05/25,San Francisco Giants VS. New York Mets
