,Team,Season,PA,AB,H,2B,3B,HR,BB,SO,BA,OBP,SLG,WOBA,WOBACON,Pitches,Batted Balls,Barrels,Barrel %,Hard Hit %,Exit Velocity,Launch Angle,XBA,XSLG,XWOBA,XWOBACON
0,Athletics,2022,6121,5491,1394,313,28,195,503,1203,.254,.323,.428,.326,.370,23324,4341,371,8.5,39.3,88.9,13.7,.250,.416,.323,.366
1,Reds,2022,6220,5439,1366,284,23,213,612,1414,.251,.336,.429,.335,.389,24868,4083,329,8.1,38.6,88.7,14.3,.233,.386,.315,.360
2,Dodgers,2022,5865,5336,1114,223,22,152,407,1465,.209,.273,.344,.272,.324,22576,3918,255,6.5,34.2,87.4,14.4,.215,.344,.277,.332
3,Blue Jays,2022,6053,5493,1356,260,19,180,424,1390,.247,.308,.399,.309,.368,23075,4159,345,8.3,39.5,89.1,13.3,.247,.403,.313,.374
4,Red Sox,2022,6167,5517,1411,292,27,185,526,1346,.256,.326,.419,.325,.379,23905,4223,359,8.5,40.4,89.2,12.2,.246,.410,.321,.373
5,D-backs,2022,6065,5445,1345,290,22,191,504,1216,.247,.315,.414,.318,.361,23569,4282,346,8.1,38.5,88.8,14.4,.249,.415,.322,.367
6,Rangers,2022,6167,5452,1345,279,18,169,581,1314,.247,.325,.397,.318,.361,23658,4198,301,7.2,38.2,88.8,10.8,.244,.388,.316,.359
7,Mariners,2022,5986,5429,1277,240,19,186,447,1391,.235,.298,.389,.300,.357,23227,4091,315,7.7,37.7,88.4,14.6,.236,.384,.301,.358
8,Brewers,2022,6057,5406,1238,240,26,190,521,1530,.229,.302,.388,.303,.365,24369,3933,268,6.8,36.4,87.7,11.9,.226,.368,.298,.357
9,Orioles,2022,6058,5490,1406,289,14,171,443,1214,.256,.317,.407,.317,.362,23252,4331,332,7.7,39,88.8,12.1,.252,.408,.318,.365
10,Guardians,2022,5989,5447,1252,246,10,172,435,1390,.230,.292,.373,.292,.345,22891,4107,338,8.2,39.7,89,13,.239,.394,.306,.365
11,Angels,2022,6038,5386,1241,264,15,168,540,1383,.230,.306,.379,.301,.349,23515,4053,315,7.8,37.2,88.5,13.5,.235,.379,.306,.356
12,Padres,2022,6047,5433,1263,234,17,173,468,1451,.232,.301,.377,.299,.353,23762,4038,304,7.5,38.3,88.6,14,.231,.373,.300,.354
13,Phillies,2022,6006,5430,1330,286,28,150,463,1423,.245,.310,.391,.307,.367,23233,4052,294,7.3,35.4,87.8,11.7,.235,.372,.299,.354
14,Cardinals,2022,6014,5409,1335,249,21,146,489,1177,.247,.314,.382,.307,.342,23520,4285,276,6.4,37.8,88.3,9.7,.251,.390,.314,.354
15,Cubs,2022,6162,5506,1342,257,29,207,540,1383,.244,.318,.414,.320,.373,24162,4163,336,8.1,38,88.3,12.6,.244,.402,.318,.371
16,Royals,2022,6249,5505,1493,273,26,173,589,1191,.271,.346,.425,.337,.376,24447,4398,338,7.7,41.2,89.3,11.5,.260,.417,.333,.371
17,Rockies,2022,6240,5569,1516,326,46,184,539,1187,.272,.340,.446,.341,.386,23720,4453,331,7.4,41.9,89.5,11.4,.260,.421,.330,.371
18,Tigers,2022,6047,5405,1336,237,26,167,511,1195,.247,.316,.393,.311,.349,23382,4283,344,8,40.1,89.4,13.5,.253,.415,.325,.368
19,Pirates,2022,6263,5539,1432,324,14,164,586,1250,.259,.337,.411,.328,.368,24246,4336,318,7.3,39.7,88.7,12,.255,.407,.328,.368
20,Marlins,2022,6056,5423,1311,314,28,173,511,1437,.242,.314,.406,.315,.374,23864,4032,295,7.3,37,88.3,10.8,.237,.381,.307,.363
21,White Sox,2022,6145,5498,1330,264,18,166,533,1450,.242,.312,.387,.307,.363,24317,4109,297,7.2,37.9,88.6,13.4,.233,.371,.301,.353
22,Braves,2022,6031,5413,1224,218,16,148,500,1554,.226,.297,.354,.288,.346,23841,3914,262,6.7,37,88.1,12.4,.225,.356,.291,.352
23,Mets,2022,5950,5408,1274,232,12,169,428,1565,.236,.299,.377,.297,.368,23305,3882,300,7.7,37.9,88.1,12.9,.227,.371,.293,.362
24,Giants,2022,6070,5517,1397,301,28,132,441,1370,.253,.313,.390,.308,.365,23628,4202,260,6.2,38.8,88.3,9.4,.239,.369,.296,.348
25,Twins,2022,6042,5458,1320,270,20,184,468,1336,.242,.307,.400,.309,.361,23611,4171,323,7.7,38.5,88.7,14.3,.240,.393,.309,.361
26,Yankees,2022,5938,5380,1177,247,8,157,444,1459,.219,.285,.355,.283,.336,23219,3961,263,6.6,36.2,87.9,12.4,.227,.358,.290,.347
27,Astros,2022,5856,5295,1121,204,16,134,458,1524,.212,.281,.332,.273,.326,22936,3814,248,6.5,37,88.4,13.2,.219,.348,.284,.343
28,Nationals,2022,6220,5522,1469,245,26,244,558,1220,.266,.339,.452,.344,.390,24394,4366,367,8.4,41,89.3,14.1,.254,.430,.334,.377
29,Rays,2022,5930,5424,1260,239,21,172,384,1384,.232,.289,.379,.293,.349,22724,4089,301,7.4,36,87.8,13.5,.232,.378,.294,.352
