Year,Pitch Type,Team,RV/100,Run Value,Pitches,%,PA,BA,SLG,wOBA,Whiff%,K%,PutAway %,xBA,xSLG,xwOBA,Hard Hit %
2022,4-Seamer,,-0.6,-5,844,38.0,193,.188,.376,.304,21.1,26.9,19.9,.212,.378,.312,45.7
2022,Sinker,,0.1,1,372,16.8,87,.243,.429,.346,15.9,17.2,17.0,.279,.520,.393,33.9
2022,Slider,,-0.9,-3,317,14.3,74,.154,.262,.253,37.6,40.5,23.6,.156,.288,.253,20.0
2022,Changeup,,-1.0,-3,274,12.3,70,.175,.317,.264,28.1,25.7,22.8,.191,.289,.251,37.0
2022,Curveball,,-0.4,-1,187,8.4,45,.175,.275,.249,27.1,35.6,27.1,.192,.266,.254,29.2
2022,Cutter,,-0.1,0,165,7.4,37,.161,.387,.285,38.2,35.1,28.9,.169,.339,.280,21.1
2022,Splitter,,-5.4,-3,47,2.1,13,.077,.077,.069,59.3,46.2,33.3,.110,.124,.104,14.3
2022,N/A,,-11.5,-1,11,0.5,3,.000,.000,.000,0.0,0.0,0.0,.143,.244,.158,33.3
2021,4-Seamer,,0.0,0,929,42.9,203,.211,.394,.318,21.5,24.6,19.6,.230,.412,.328,40.5
2021,Sinker,,0.1,0,325,15.0,85,.269,.343,.351,14.6,17.6,17.6,.287,.354,.368,37.7
2021,Slider,,2.5,8,309,14.3,77,.286,.557,.387,26.7,26.0,16.8,.249,.382,.309,36.0
2021,Changeup,,0.6,1,223,10.3,62,.268,.446,.330,24.8,17.7,17.2,.241,.328,.265,29.2
2021,Cutter,,-1.7,-3,199,9.2,48,.159,.250,.239,24.0,22.9,19.6,.183,.269,.239,33.3
2021,Curveball,,-0.3,0,145,6.7,34,.265,.412,.291,15.1,23.5,16.3,.262,.353,.267,34.6
2021,Splitter,,5.8,2,35,1.6,15,.400,.667,.453,29.4,26.7,26.7,.229,.321,.233,36.4
2021,N/A,,-12.3,0,3,0.1,1,.000,.000,.000,0.0,0.0,--,.531,.580,.494,100.0
2020,4-Seamer,,0.2,1,407,38.8,73,.279,.541,.404,19.6,23.3,16.7,.293,.579,.420,43.2
2020,Sinker,,2.8,5,164,15.6,33,.360,.800,.515,15.8,6.1,5.9,.406,.862,.557,45.8
2020,Slider,,-2.1,-3,150,14.3,44,.205,.308,.265,41.2,40.9,31.6,.225,.302,.273,45.5
2020,Changeup,,-1.7,-2,136,13.0,44,.167,.262,.213,24.6,29.5,28.9,.151,.223,.186,27.6
2020,Cutter,,0.9,1,88,8.4,31,.231,.423,.403,35.1,35.5,39.3,.259,.542,.395,53.3
2020,Curveball,,3.7,3,79,7.5,18,.400,.667,.497,11.5,11.1,6.5,.374,.645,.474,46.2
2020,Splitter,,-2.2,0,20,1.9,8,.143,.143,.200,11.1,12.5,14.3,.219,.231,.264,33.3
2020,N/A,,2.9,0,2,0.2,,--,--,--,--,--,--,--,--,--,--
2019,4-Seamer,,0.0,0,284,37.6,62,.235,.510,.346,24.3,32.3,25.6,.238,.440,.323,35.3
2019,Sinker,,1.8,3,143,18.9,30,.292,.708,.472,9.3,13.3,16.7,.302,.620,.444,45.0
2019,Slider,,-4.1,-4,105,13.9,28,.154,.154,.179,31.3,39.3,23.4,.146,.215,.191,40.0
2019,Curveball,,0.2,0,80,10.6,18,.286,.357,.375,34.8,33.3,22.2,.252,.300,.341,37.5
2019,Changeup,,2.7,2,67,8.9,22,.238,.381,.284,29.7,18.2,16.7,.240,.275,.244,29.4
2019,Cutter,,-0.3,0,40,5.3,13,.333,.333,.331,5.3,23.1,30.0,.271,.334,.296,11.1
2019,Splitter,,-3.4,0,7,0.9,1,.000,.000,.000,33.3,0.0,0.0,.279,.333,.265,0.0
