Season,Tm,LG,POS,G,GS,INN,TC,PO,A,E,DP,RF,FPCT%
2019,TOR,AL,3B,96,94,824.1,265,66,182,17,23,,.936
2019,TOR,AL,DH,24,24,0.0,0,0,0,0,0,,.000
2020,TOR,AL,1B,34,34,299.0,290,265,22,3,25,,.990
2020,TOR,AL,DH,23,23,0.0,0,0,0,0,0,,.000
2021,TOR,AL,1B,133,133,1143.2,1080,1026,46,8,90,,.993
2021,TOR,AL,3B,1,0,2.0,0,0,0,0,0,,.000
2021,TOR,AL,DH,28,28,0.0,0,0,0,0,0,,.000
2022,TOR,AL,1B,128,126,1119.0,1026,969,47,10,80,,.990
2022,TOR,AL,3B,1,0,2.0,0,0,0,0,0,,.000
2022,TOR,AL,DH,32,32,0.0,0,0,0,0,0,,.000
4 Seasons,TOR,AL,1B,295,293,2561.2,2396,2260,115,21,195,,.991
,TOR,AL,3B,98,94,828.1,265,66,182,17,23,,.936
,TOR,AL,DH,107,107,0.0,0,0,0,0,0,,.000
