Team,Lg,Type,PA,AB,R,H,2B,3B,HR,RBI,BB,SO,SB,CS,HBP,AVG,OBP,SLG,OPS
Houston Astros,MLB,First Inning,68,65,3,9,3,0,1,4,2,12,2,0,1,.138,.176,.231,.407
Houston Astros,MLB,Second Inning,79,77,10,24,10,0,3,6,2,9,2,0,0,.312,.329,.558,.887
Houston Astros,MLB,Third Inning,46,41,6,8,3,0,0,5,4,1,1,0,0,.195,.261,.268,.529
Houston Astros,MLB,Fourth Inning,85,81,8,20,7,0,0,8,4,10,0,0,0,.247,.282,.333,.615
Houston Astros,MLB,Fifth Inning,63,58,7,18,4,0,1,8,4,11,0,0,0,.310,.349,.431,.780
Houston Astros,MLB,Sixth Inning,71,67,6,17,5,0,1,3,1,8,2,0,2,.254,.282,.373,.655
Houston Astros,MLB,Seventh Inning,59,55,7,17,3,0,1,8,4,9,0,0,0,.309,.356,.418,.774
Houston Astros,MLB,Eighth Inning,65,59,2,6,3,0,1,4,5,8,1,0,1,.102,.185,.203,.388
Houston Astros,MLB,Ninth Inning,43,37,3,12,1,0,0,6,4,4,0,0,2,.324,.419,.351,.770
Houston Astros,MLB,Extra Innings,5,5,1,1,1,0,0,1,0,1,0,0,0,.200,.200,.400,.600
