Year,Pitch Type,Team,RV/100,Run Value,Pitches,%,PA,BA,SLG,wOBA,Whiff%,K%,PutAway %,xBA,xSLG,xwOBA,Hard Hit %
2022,4-Seamer,,-1.2,-8,677,32.0,167,.227,.313,.282,10.4,13.2,11.6,.231,.326,.288,39.8
2022,Slider,,-0.7,-3,501,23.7,142,.228,.368,.288,23.1,18.3,15.6,.223,.289,.241,31.3
2022,Sinker,,-1.5,-5,357,16.9,105,.258,.340,.305,5.8,6.7,11.7,.246,.307,.271,41.8
2022,Changeup,,-0.6,-1,213,10.1,69,.270,.429,.333,16.8,10.1,10.1,.246,.310,.283,30.4
2022,Cutter,,-2.2,-4,177,8.4,65,.234,.344,.257,12.4,6.2,8.3,.280,.383,.295,31.7
2022,Curveball,,1.9,3,168,7.9,27,.296,.519,.346,21.7,18.5,8.8,.276,.396,.293,36.4
2022,Splitter,,3.6,1,19,0.9,8,.250,.375,.381,18.2,25.0,22.2,.114,.139,.107,16.7
2022,N/A,,10.0,0,4,0.2,1,--,--,.700,--,0.0,--,--,--,.700,--
2021,4-Seamer,,-1.3,-9,713,31.1,209,.266,.391,.328,13.2,13.9,16.9,.236,.352,.309,41.4
2021,Slider,,2.5,12,503,21.9,121,.303,.495,.366,21.3,13.2,10.7,.259,.397,.313,28.1
2021,Sinker,,1.9,9,483,21.1,143,.408,.520,.425,5.1,6.3,10.6,.320,.399,.350,52.5
2021,Changeup,,3.3,8,248,10.8,61,.385,.577,.434,12.8,4.9,4.1,.298,.410,.349,39.2
2021,Cutter,,3.8,6,157,6.8,34,.379,.517,.435,14.7,11.8,9.1,.356,.521,.422,56.0
2021,Curveball,,0.2,0,152,6.6,29,.192,.346,.253,19.1,13.8,8.7,.224,.380,.279,43.5
2021,Splitter,,0.8,0,34,1.5,6,.000,.000,.117,29.4,50.0,15.8,.065,.081,.174,0.0
2021,Knuckleball,,-8.5,0,2,0.1,,--,--,--,0.0,--,--,--,--,--,--
2020,4-Seamer,,-1.8,-5,283,35.9,80,.219,.397,.314,14.8,15.0,16.2,.266,.432,.329,32.3
2020,Slider,,-2.4,-3,143,18.1,44,.200,.425,.269,30.1,18.2,19.0,.193,.324,.238,29.4
2020,Sinker,,-4.0,-5,131,16.6,42,.231,.308,.246,6.3,7.1,13.6,.285,.357,.320,44.7
2020,Changeup,,4.1,4,86,10.9,27,.320,.520,.419,16.7,7.4,9.1,.356,.539,.406,34.8
2020,Curveball,,-1.0,-1,77,9.8,16,.267,.267,.269,9.4,12.5,7.1,.258,.334,.286,30.8
2020,Cutter,,-2.1,-1,57,7.2,18,.188,.313,.267,7.7,0.0,0.0,.231,.476,.340,43.8
2020,Splitter,,-3.3,0,12,1.5,3,.333,.333,.300,16.7,0.0,0.0,.419,.461,.391,100.0
2019,4-Seamer,,0.8,5,681,32.7,193,.289,.549,.392,12.6,11.9,13.9,.286,.435,.338,43.4
2019,Slider,,0.9,3,388,18.6,128,.272,.520,.327,22.1,13.3,16.5,.278,.425,.300,35.1
2019,Sinker,,-0.5,-2,354,17.0,106,.323,.475,.371,8.8,11.3,17.9,.272,.362,.297,39.8
2019,Curveball,,4.5,10,230,11.0,59,.333,.719,.464,13.0,6.8,5.8,.296,.478,.338,32.1
2019,Changeup,,2.1,5,227,10.9,65,.250,.393,.362,21.5,4.6,4.5,.264,.362,.328,32.1
2019,Cutter,,3.7,5,148,7.1,42,.378,.676,.479,8.3,7.1,11.5,.317,.474,.381,41.2
2019,Splitter,,-6.8,-1,21,1.0,4,.000,.000,.000,33.3,25.0,20.0,.048,.060,.049,0.0
2018,4-Seamer,,0.8,5,575,30.1,178,.301,.410,.357,11.6,9.0,13.3,.268,.393,.311,35.8
2018,Sinker,,-0.9,-3,396,20.8,125,.254,.351,.307,7.6,7.2,12.2,.277,.361,.302,43.5
2018,Slider,,2.8,9,325,17.0,93,.326,.483,.376,22.3,11.8,11.5,.276,.364,.290,38.0
2018,Changeup,,3.3,7,216,11.3,71,.391,.536,.425,23.1,9.9,12.5,.273,.372,.293,29.0
2018,Curveball,,1.6,3,188,9.9,52,.231,.462,.326,21.1,21.2,18.3,.159,.258,.181,24.4
2018,Cutter,,-1.4,-2,157,8.2,42,.222,.389,.289,13.9,14.3,17.6,.254,.357,.318,46.9
2018,Splitter,,-1.7,-1,45,2.4,10,.000,.000,.070,27.3,30.0,15.0,.177,.214,.226,33.3
2018,Knuckleball,,-17.9,0,2,0.1,1,.000,.000,.000,0.0,0.0,--,.085,.091,.077,0.0
2017,4-Seamer,,1.4,8,553,28.6,175,.311,.516,.376,14.4,9.7,12.9,.316,.480,.356,51.7
2017,Sinker,,-0.5,-3,460,23.8,158,.295,.436,.339,7.8,5.7,11.0,.311,.450,.343,43.3
2017,Slider,,2.9,11,373,19.3,100,.316,.592,.396,25.4,19.0,18.6,.257,.407,.287,42.0
2017,Changeup,,-0.2,0,200,10.3,35,.273,.303,.307,36.5,17.1,11.3,.224,.261,.241,33.3
2017,Curveball,,2.4,5,189,9.8,45,.262,.500,.367,22.6,17.8,12.5,.246,.427,.312,35.3
2017,Cutter,,0.5,1,119,6.2,37,.257,.457,.349,6.8,5.4,6.7,.240,.416,.300,30.3
2017,Splitter,,2.8,1,32,1.7,10,.333,.333,.340,22.2,10.0,11.1,.331,.440,.367,37.5
