Team,Lg,Type,PA,AB,R,H,2B,3B,HR,RBI,BB,SO,SB,CS,HBP,AVG,OBP,SLG,OPS
Chicago Cubs,MLB,First Inning,118,106,12,36,11,0,6,21,11,32,1,3,1,.340,.407,.613,1.020
Chicago Cubs,MLB,Second Inning,41,40,9,13,5,1,2,3,1,12,0,0,0,.325,.341,.650,.991
Chicago Cubs,MLB,Third Inning,77,69,7,17,3,0,1,5,7,13,1,0,0,.246,.312,.333,.645
Chicago Cubs,MLB,Fourth Inning,73,66,13,18,5,1,1,4,6,13,0,0,1,.273,.342,.424,.766
Chicago Cubs,MLB,Fifth Inning,67,61,8,20,8,0,2,8,6,14,0,0,0,.328,.388,.557,.945
Chicago Cubs,MLB,Sixth Inning,75,65,4,15,4,0,0,4,8,17,1,1,1,.231,.320,.292,.612
Chicago Cubs,MLB,Seventh Inning,65,52,6,14,1,0,3,15,11,10,1,0,2,.269,.415,.462,.877
Chicago Cubs,MLB,Eighth Inning,71,65,5,14,4,0,1,8,5,17,2,0,0,.215,.268,.323,.591
Chicago Cubs,MLB,Ninth Inning,41,38,3,7,1,0,0,2,2,16,1,0,0,.184,.220,.211,.431
Chicago Cubs,MLB,Extra Innings,13,11,5,1,0,0,1,2,1,5,2,0,1,.091,.231,.364,.595
