Season,Team,Pos,PA,Depth (ft.),Angle
2017,CHC,7,474,294,-27
2017,CHC,8,1440,318,1
2017,CHC,9,305,293,28
2017,CHC,4,1119,152,13
2017,CHC,5,73,115,-35
2018,CHC,4,16,152,13
2018,CHC,3,59,109,35
2018,CHC,9,510,294,29
2018,CHC,8,1675,322,1
2018,CHC,7,1135,296,-27
2018,CHC,5,496,115,-32
2019,CHC,5,245,115,-29
2019,CHC,4,343,150,14
2019,CHC,7,191,296,-27
2019,CHC,3,183,107,35
2019,CHC,9,66,293,28
2019,CHC,8,277,318,1
2020,CHC,3,26,112,37
2020,CHC,7,253,297,-28
2020,CHC,9,117,295,29
2020,CHC,8,1480,325,0
2021,CHC,8,1919,324,1
2021,CHC,7,2043,301,-28
2021,CHC,5,8,134,-24
2021,CHC,9,440,302,29
2021,CHC,4,138,152,9
2022,CHC,8,47,324,1
2022,CHC,7,5175,300,-28
