Team,Lg,Type,PA,AB,R,H,2B,3B,HR,RBI,BB,SO,SB,CS,HBP,AVG,OBP,SLG,OPS
Baltimore Orioles,MLB,First Inning,70,63,4,8,2,0,0,1,4,23,0,1,3,.127,.214,.159,.373
Baltimore Orioles,MLB,Second Inning,66,63,1,11,1,0,0,1,2,13,0,1,1,.175,.212,.190,.402
Baltimore Orioles,MLB,Third Inning,61,57,10,16,4,0,3,10,3,8,2,0,1,.281,.328,.509,.837
Baltimore Orioles,MLB,Fourth Inning,72,67,6,12,2,2,1,4,3,15,0,0,1,.179,.222,.313,.535
Baltimore Orioles,MLB,Fifth Inning,51,46,6,20,6,0,2,9,3,7,0,0,1,.435,.471,.696,1.167
Baltimore Orioles,MLB,Sixth Inning,75,65,7,18,7,0,1,7,9,13,0,1,1,.277,.373,.431,.804
Baltimore Orioles,MLB,Seventh Inning,64,59,9,16,5,0,2,9,4,9,0,1,0,.271,.313,.458,.771
Baltimore Orioles,MLB,Eighth Inning,71,66,14,18,6,0,6,11,3,16,0,0,2,.273,.324,.636,.960
Baltimore Orioles,MLB,Ninth Inning,45,43,5,13,2,0,1,6,2,8,0,0,0,.302,.333,.419,.752
Baltimore Orioles,MLB,Extra Innings,7,6,4,2,0,0,0,2,1,2,0,0,0,.333,.429,.333,.762
