Year,Pitch Type,Team,RV/100,Run Value,Pitches,%,PA,BA,SLG,wOBA,Whiff%,K%,PutAway %,xBA,xSLG,xwOBA,Hard Hit %
2022,4-Seamer,,-1.2,-7,571,27.8,169,.258,.406,.321,11.4,13.6,14.6,.264,.440,.331,47.4
2022,Slider,,0.9,4,507,24.7,138,.244,.420,.324,33.2,18.8,20.0,.226,.360,.275,29.5
2022,Sinker,,-0.9,-4,393,19.2,109,.245,.309,.309,17.9,12.8,16.9,.231,.264,.284,37.8
2022,Curveball,,0.6,1,221,10.8,64,.246,.459,.316,38.8,39.1,30.5,.217,.308,.250,36.1
2022,Changeup,,0.7,1,178,8.7,48,.261,.500,.352,29.9,33.3,27.1,.236,.404,.293,36.7
2022,Cutter,,-1.5,-2,143,7.0,44,.200,.350,.317,20.0,18.2,24.2,.230,.381,.303,21.9
2022,Splitter,,11.3,4,34,1.7,8,.500,1.167,.806,31.8,25.0,15.4,.296,.726,.497,75.0
2022,N/A,,-30.0,0,1,0.0,1,.000,.000,.000,0.0,0.0,--,.560,1.593,.884,100.0
2021,4-Seamer,,1.2,7,575,29.4,163,.281,.568,.386,14.2,14.1,14.7,.294,.586,.400,52.0
2021,Slider,,0.6,3,433,22.1,106,.218,.416,.296,39.2,32.1,27.4,.193,.339,.248,26.9
2021,Sinker,,-2.2,-7,308,15.7,91,.286,.429,.335,15.9,11.0,17.2,.260,.426,.321,37.3
2021,Changeup,,2.8,7,251,12.8,69,.277,.538,.391,27.5,13.0,9.7,.226,.392,.287,35.7
2021,Curveball,,-2.1,-5,222,11.3,48,.114,.182,.174,46.2,45.8,31.9,.145,.187,.191,22.7
2021,Cutter,,2.2,3,153,7.8,46,.326,.442,.351,11.4,13.0,18.8,.315,.473,.352,39.5
2021,Splitter,,5.5,1,13,0.7,5,.250,.500,.390,44.4,60.0,33.3,.164,.207,.268,0.0
2021,N/A,,-11.4,0,2,0.1,1,.000,.000,.000,0.0,0.0,--,.189,.313,.207,0.0
2020,4-Seamer,,0.4,1,168,31.3,40,.206,.382,.385,11.4,17.5,12.1,.235,.363,.323,40.7
2020,Slider,,-0.5,0,101,18.8,18,.294,.471,.350,50.0,50.0,29.0,.201,.303,.243,37.5
2020,Sinker,,-0.9,-1,99,18.4,33,.313,.313,.303,13.8,12.1,16.0,.267,.324,.275,35.7
2020,Curveball,,-0.7,0,65,12.1,10,.125,.125,.160,30.0,30.0,12.0,.199,.318,.251,33.3
2020,Changeup,,1.3,1,44,8.2,13,.417,.833,.485,21.9,0.0,0.0,.326,.531,.361,15.4
2020,Cutter,,3.0,1,43,8.0,14,.462,.462,.436,0.0,0.0,0.0,.312,.464,.362,15.4
2020,Splitter,,-12.5,-2,12,2.2,5,.000,.000,.000,37.5,40.0,28.6,.085,.092,.078,33.3
2020,N/A,,-11.0,-1,5,0.9,1,.000,.000,.000,33.3,0.0,0.0,.000,.000,.000,0.0
2019,4-Seamer,,4.0,4,94,32.3,26,.440,.880,.562,14.3,11.5,11.1,.376,.659,.441,54.5
2019,Slider,,-3.9,-3,73,25.1,14,.077,.077,.114,50.0,35.7,21.7,.203,.274,.241,12.5
2019,Curveball,,12.2,5,38,13.1,6,.600,1.200,.750,0.0,16.7,6.7,.269,.652,.426,25.0
2019,Sinker,,1.8,1,37,12.7,14,.364,.545,.457,12.5,7.1,11.1,.385,.516,.452,60.0
2019,Changeup,,2.8,1,29,10.0,11,.100,.200,.259,45.0,27.3,21.4,.120,.189,.184,28.6
2019,Cutter,,-2.7,-1,19,6.5,4,.250,.500,.313,10.0,0.0,0.0,.182,.236,.182,25.0
2019,Splitter,,-5.2,0,1,0.3,,--,--,--,0.0,--,--,--,--,--,--
2017,4-Seamer,,-0.5,0,63,28.1,15,.267,.467,.313,7.4,13.3,10.0,.334,.584,.384,46.2
2017,Slider,,-3.1,-2,59,26.3,18,.222,.278,.219,58.5,44.4,34.8,.102,.132,.102,10.0
2017,Sinker,,0.2,0,38,17.0,12,.222,.333,.296,25.0,25.0,33.3,.151,.186,.282,42.9
2017,Curveball,,2.8,1,25,11.2,4,.500,.750,.538,42.9,25.0,11.1,.307,.549,.364,33.3
2017,Changeup,,-2.6,-1,24,10.7,7,.143,.143,.129,53.3,14.3,10.0,.296,.335,.274,16.7
2017,Cutter,,-5.3,-1,11,4.9,5,.000,.000,.180,14.3,0.0,0.0,.147,.172,.135,20.0
2017,Splitter,,-16.8,-1,4,1.8,2,.000,.000,.000,50.0,50.0,50.0,.118,.119,.109,0.0
