Year,Pitch Type,Team,RV/100,Run Value,Pitches,%,PA,BA,SLG,wOBA,Whiff%,K%,PutAway %,xBA,xSLG,xwOBA,Hard Hit %
2022,4-Seamer,,-0.5,-5,915,38.6,224,.268,.348,.325,16.8,16.1,13.6,.267,.356,.320,26.4
2022,Changeup,,-1.3,-5,393,16.6,111,.152,.200,.195,28.6,21.6,16.4,.205,.256,.225,20.7
2022,Sinker,,0.3,1,344,14.5,100,.344,.422,.368,8.3,11.0,18.3,.292,.378,.334,40.5
2022,Slider,,-1.9,-5,283,12.0,81,.192,.247,.219,31.1,25.9,21.4,.224,.341,.277,45.5
2022,Curveball,,0.2,1,226,9.5,46,.273,.318,.280,25.7,21.7,14.7,.257,.319,.272,26.5
2022,Cutter,,0.7,1,171,7.2,42,.297,.432,.382,17.2,14.3,13.6,.247,.334,.307,22.6
2022,Splitter,,-2.8,-1,36,1.5,13,.154,.154,.208,23.8,46.2,37.5,.123,.140,.116,14.3
2021,4-Seamer,,0.2,2,951,38.7,222,.219,.406,.339,16.1,19.4,16.2,.254,.419,.337,37.1
2021,Changeup,,-0.7,-3,419,17.1,121,.225,.392,.268,28.6,17.4,17.4,.258,.392,.283,24.2
2021,Sinker,,-2.0,-8,407,16.6,117,.172,.263,.260,12.2,19.7,23.5,.223,.381,.325,44.2
2021,Slider,,0.8,3,335,13.6,92,.301,.434,.366,27.9,27.2,17.9,.248,.379,.311,31.0
2021,Curveball,,1.8,3,170,6.9,40,.368,.526,.405,28.8,20.0,15.7,.271,.338,.288,36.7
2021,Cutter,,-0.2,0,108,4.4,25,.250,.400,.400,28.6,28.0,22.6,.181,.309,.308,7.7
2021,Splitter,,-2.8,-1,47,1.9,14,.143,.357,.207,45.5,35.7,26.3,.128,.301,.182,11.1
2021,N/A,,-3.0,0,3,0.1,,--,--,--,0.0,--,0.0,--,--,--,--
2020,4-Seamer,,-0.4,-2,409,38.0,94,.247,.383,.326,10.6,17.0,15.5,.258,.343,.318,31.8
2020,Sinker,,0.8,2,217,20.2,54,.347,.469,.404,11.5,18.5,19.6,.337,.480,.384,53.8
2020,Slider,,0.9,1,162,15.1,45,.244,.463,.334,32.9,37.8,23.9,.208,.428,.305,33.3
2020,Changeup,,1.5,2,130,12.1,33,.400,.433,.402,34.8,21.2,15.9,.305,.360,.330,30.4
2020,Curveball,,1.7,2,103,9.6,20,.278,.389,.330,18.9,15.0,9.4,.327,.543,.405,33.3
2020,Cutter,,-1.6,-1,35,3.3,8,.143,.143,.200,25.0,25.0,16.7,.241,.269,.288,20.0
2020,Splitter,,3.9,1,20,1.9,7,.143,.143,.129,28.6,28.6,20.0,.114,.129,.108,60.0
2019,4-Seamer,,-0.7,-7,987,38.0,247,.251,.402,.339,9.6,11.3,10.3,.267,.405,.333,27.2
2019,Sinker,,-1.9,-8,404,15.5,106,.290,.360,.292,7.1,12.3,15.7,.301,.406,.328,42.5
2019,Changeup,,-0.9,-3,387,14.9,116,.250,.306,.279,29.9,12.1,11.3,.246,.302,.257,15.6
2019,Curveball,,0.6,2,331,12.7,59,.315,.444,.353,24.8,23.7,13.3,.228,.318,.258,33.3
2019,Slider,,2.0,6,300,11.5,85,.337,.590,.402,22.4,24.7,16.4,.241,.374,.272,24.2
2019,Cutter,,-1.1,-1,130,5.0,38,.263,.368,.299,12.5,21.1,16.7,.304,.430,.314,40.0
2019,Splitter,,4.8,3,61,2.3,12,.500,.600,.521,40.0,16.7,8.3,.270,.303,.326,12.5
2018,4-Seamer,,0.7,8,"1,203",40.0,267,.290,.419,.383,10.3,13.5,10.5,.269,.423,.374,27.6
2018,Sinker,,1.4,9,610,20.3,151,.331,.508,.424,8.3,11.3,12.9,.295,.432,.377,33.9
2018,Changeup,,-1.7,-7,396,13.2,105,.143,.204,.217,41.0,26.7,21.7,.179,.241,.218,21.4
2018,Curveball,,-1.0,-3,328,10.9,58,.204,.259,.241,37.3,51.7,27.8,.196,.239,.226,37.5
2018,Slider,,1.5,4,275,9.1,72,.227,.303,.259,31.7,41.7,24.4,.211,.281,.239,28.9
2018,Cutter,,-1.9,-2,121,4.0,34,.200,.267,.262,17.5,23.5,17.4,.243,.335,.302,27.3
2018,Splitter,,-0.2,0,51,1.7,12,.182,.182,.208,52.2,41.7,27.8,.096,.111,.146,0.0
2017,4-Seamer,,1.0,9,904,39.0,237,.315,.421,.407,11.9,12.2,11.9,.278,.386,.356,28.6
2017,Sinker,,2.1,10,457,19.7,125,.357,.473,.416,7.4,12.8,13.1,.350,.492,.395,43.8
2017,Changeup,,-1.3,-4,323,13.9,78,.237,.355,.258,42.8,26.9,27.6,.197,.289,.221,20.0
2017,Curveball,,-1.8,-4,228,9.8,37,.167,.194,.114,30.5,35.1,19.4,.136,.173,.152,8.7
2017,Slider,,0.5,1,224,9.7,56,.176,.373,.275,31.3,33.9,20.0,.194,.288,.242,21.2
2017,Cutter,,1.2,1,119,5.1,30,.423,.692,.495,23.0,10.0,7.7,.368,.692,.482,26.1
2017,Splitter,,5.6,2,29,1.3,6,.167,.667,.483,57.1,16.7,16.7,.425,1.212,.670,60.0
2017,Knuckleball,,-0.4,0,29,1.3,6,.333,.333,.300,18.2,33.3,20.0,.305,.336,.282,50.0
