Team,Lg,Type,PA,AB,R,H,2B,3B,HR,RBI,BB,SO,SB,CS,HBP,AVG,OBP,SLG,OPS
Chicago Cubs,MLB,First Inning,29,28,5,5,1,0,0,5,1,7,1,0,0,.179,.207,.214,.421
Chicago Cubs,MLB,Second Inning,92,86,17,30,6,0,4,11,5,8,4,2,1,.349,.391,.558,.949
Chicago Cubs,MLB,Third Inning,38,37,4,8,1,0,0,6,0,7,0,0,1,.216,.237,.243,.480
Chicago Cubs,MLB,Fourth Inning,69,65,4,20,4,1,0,8,3,8,2,0,0,.308,.333,.400,.733
Chicago Cubs,MLB,Fifth Inning,58,52,9,19,3,2,3,9,4,6,2,0,1,.365,.414,.673,1.087
Chicago Cubs,MLB,Sixth Inning,58,55,4,11,2,0,1,4,3,3,1,0,0,.200,.241,.291,.532
Chicago Cubs,MLB,Seventh Inning,61,54,7,18,3,1,2,6,5,4,5,0,2,.333,.410,.537,.947
Chicago Cubs,MLB,Eighth Inning,58,55,6,13,1,1,0,5,3,7,1,0,0,.236,.276,.291,.567
Chicago Cubs,MLB,Ninth Inning,42,39,1,10,1,0,0,1,2,7,2,0,1,.256,.310,.282,.592
Chicago Cubs,MLB,Extra Innings,12,10,3,1,0,0,0,0,2,0,2,0,0,.100,.250,.100,.350
