Year,Pitch Type,#,%,PA,AB,H,1B,2B,3B,HR,SO,BBE,BA,XBA,SLG,XSLG,WOBA,XWOBA,EV,LA,Whiff%,PutAway%
2022,Fastballs,915,50.6,271,251,70,58,8,1,3,25,228,.279,.279,.355,.385,.301,.314,88.3,9,7.2,11.7
2022,Breaking,641,35.5,163,154,47,28,10,3,6,23,131,.305,.278,.526,.376,.373,.308,87.6,13,24.1,11.6
2022,Offspeed,252,13.9,72,70,17,11,4,1,1,8,62,.243,.227,.371,.289,.276,.240,81.2,12,17.6,11.1
2021,Fastballs,352,54.2,99,86,33,25,8,0,0,13,73,.384,.310,.477,.408,.413,.363,90.6,8,13.6,12.0
2021,Breaking,223,34.4,52,47,10,9,1,0,0,10,38,.213,.237,.234,.268,.230,.260,79.6,4,25.0,17.9
2021,Offspeed,74,11.4,15,15,2,1,1,0,0,2,13,.133,.218,.200,.303,.141,.223,83.2,13,27.8,8.0
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
