Team,Lg,Type,PA,AB,R,H,2B,3B,HR,RBI,BB,SO,SB,CS,HBP,AVG,OBP,SLG,OPS
New York Yankees,MLB,First Inning,155,132,33,40,8,0,10,15,20,31,4,1,3,.303,.406,.591,.997
New York Yankees,MLB,Second Inning,22,18,3,5,0,0,2,7,3,7,0,0,0,.278,.364,.611,.975
New York Yankees,MLB,Third Inning,108,89,17,30,3,0,10,17,18,25,2,1,0,.337,.449,.708,1.157
New York Yankees,MLB,Fourth Inning,51,39,7,11,1,0,5,11,11,13,2,0,1,.282,.451,.692,1.143
New York Yankees,MLB,Fifth Inning,80,67,18,20,4,0,8,17,12,24,1,0,1,.299,.413,.716,1.129
New York Yankees,MLB,Sixth Inning,70,59,12,17,2,0,4,9,8,23,1,0,0,.288,.362,.525,.887
New York Yankees,MLB,Seventh Inning,70,57,14,19,3,0,6,15,11,17,2,1,1,.333,.449,.702,1.151
New York Yankees,MLB,Eighth Inning,74,62,15,19,3,0,9,20,12,20,2,0,0,.306,.419,.790,1.209
New York Yankees,MLB,Ninth Inning,52,40,9,14,3,0,7,16,9,13,1,0,0,.350,.451,.950,1.401
New York Yankees,MLB,Extra Innings,14,7,5,2,1,0,1,4,7,2,1,0,0,.286,.643,.857,1.500
