Season,Tm,LG,L,POS,G,GS,INN,TC,PO,A,E,DP,RF,FPCT%
2014,2 Teams,,Minors,RF,116,114,993.1,243,229,6,8,2,,.967
2014,2 Teams,,Minors,DH,16,16,0.0,0,0,0,0,0,,.000
2014,Charleston RiverDogs,SAL,A(Full),RF,55,54,467.1,115,109,2,4,0,,.965
2014,Charleston RiverDogs,SAL,A(Full),DH,10,10,0.0,0,0,0,0,0,,.000
2014,Tampa Yankees,FSL,A(Adv),RF,61,60,526.0,128,120,4,4,2,,.969
2014,Tampa Yankees,FSL,A(Adv),DH,6,6,0.0,0,0,0,0,0,,.000
2015,2 Teams,,Minors,DH,16,16,0.0,0,0,0,0,0,,.000
2015,2 Teams,,Minors,RF,102,102,900.1,245,233,9,3,4,,.988
2015,Trenton Thunder,EAS,AA,RF,52,52,462.0,135,128,4,3,2,,.978
2015,Trenton Thunder,EAS,AA,DH,11,11,0.0,0,0,0,0,0,,.000
2015,Scranton/Wilkes-Barre RailRiders,INT,AAA,CF,8,5,48.0,12,10,2,0,0,,1.000
2015,Scranton/Wilkes-Barre RailRiders,INT,AAA,RF,50,50,438.1,110,105,5,0,2,,1.000
2015,Scranton/Wilkes-Barre RailRiders,INT,AAA,DH,5,5,0.0,0,0,0,0,0,,.000
2016,Scranton/Wilkes-Barre RailRiders,INT,AAA,LF,7,7,63.0,9,8,0,1,0,,.889
2016,Scranton/Wilkes-Barre RailRiders,INT,AAA,CF,3,3,26.0,5,5,0,0,0,,1.000
2016,Scranton/Wilkes-Barre RailRiders,INT,AAA,RF,66,66,569.2,159,150,7,2,4,,.987
2016,Scranton/Wilkes-Barre RailRiders,INT,AAA,DH,17,17,0.0,0,0,0,0,0,,.000
2019,Scranton/Wilkes-Barre RailRiders,INT,AAA,RF,3,3,22.0,9,8,1,0,1,,1.000
2019,Scranton/Wilkes-Barre RailRiders,INT,AAA,DH,2,2,0.0,0,0,0,0,0,,.000
,Scranton/Wilkes-Barre RailRiders,INT,AAA,LF,7,7,63.0,9,8,0,1,0,,.889
,Scranton/Wilkes-Barre RailRiders,INT,AAA,CF,11,8,74.0,17,15,2,0,0,,1.000
,Scranton/Wilkes-Barre RailRiders,INT,AAA,RF,119,119,1030.0,278,263,13,2,7,,.993
,Scranton/Wilkes-Barre RailRiders,INT,AAA,DH,24,24,0.0,0,0,0,0,0,,.000
,Trenton Thunder,,AA,RF,52,52,462.0,135,128,4,3,2,,.978
,Trenton Thunder,,AA,DH,11,11,0.0,0,0,0,0,0,,.000
,Tampa Tarpons,FSL,A+,RF,61,60,526.0,128,120,4,4,2,,.969
,Tampa Tarpons,FSL,A+,DH,6,6,0.0,0,0,0,0,0,,.000
,Charleston RiverDogs,CAR,A,RF,55,54,467.1,115,109,2,4,0,,.965
,Charleston RiverDogs,CAR,A,DH,10,10,0.0,0,0,0,0,0,,.000
,1 Teams,,Minors,LF,7,7,63.0,9,8,0,1,0,,.889
,1 Teams,,Minors,CF,11,8,74.0,17,15,2,0,0,,1.000
,4 Teams,,Minors,RF,287,285,2485.1,656,620,23,13,11,,.980
Career Minors,4 Teams,,,DH,51,51,0.0,0,0,0,0,0,,.000
