Year,Pitch Type,Team,RV/100,Run Value,Pitches,%,PA,BA,SLG,wOBA,Whiff%,K%,PutAway %,xBA,xSLG,xwOBA,Hard Hit %
2022,4-Seamer,,3.2,26,796,27.4,192,.342,.801,.504,22.3,22.9,19.9,.334,.847,.525,69.7
2022,Slider,,3.9,29,748,25.7,164,.326,.763,.498,37.1,26.8,16.8,.281,.705,.462,56.5
2022,Sinker,,3.2,15,461,15.9,108,.379,.832,.538,15.3,13.0,14.0,.412,.889,.568,66.7
2022,Changeup,,1.3,5,388,13.4,98,.200,.400,.331,37.6,35.7,24.5,.208,.418,.339,39.1
2022,Curveball,,2.5,6,237,8.2,48,.256,.651,.408,39.5,37.5,24.7,.268,.653,.419,60.0
2022,Cutter,,-0.2,0,198,6.8,50,.256,.372,.306,34.7,28.0,23.3,.263,.456,.355,63.3
2022,Splitter,,0.8,1,68,2.3,14,.182,.182,.279,56.3,42.9,22.2,.223,.288,.321,80.0
2022,N/A,,4.8,0,7,0.2,1,--,--,.700,33.3,0.0,0.0,--,--,.700,--
2021,4-Seamer,,2.0,15,728,27.4,173,.308,.685,.465,21.0,20.8,18.1,.357,.770,.507,70.9
2021,Slider,,0.5,3,695,26.2,144,.258,.427,.354,40.1,31.9,20.8,.266,.476,.360,45.7
2021,Sinker,,1.6,7,433,16.3,113,.381,.588,.445,16.4,12.4,16.3,.374,.653,.472,64.7
2021,Changeup,,0.4,2,343,12.9,93,.165,.353,.259,47.3,36.6,30.9,.195,.375,.281,43.1
2021,Curveball,,1.6,3,200,7.5,49,.295,.500,.377,31.3,28.6,18.2,.296,.565,.395,60.0
2021,Cutter,,4.3,8,184,6.9,45,.293,.610,.408,20.5,22.2,20.0,.358,.713,.472,54.8
2021,Splitter,,1.1,1,50,1.9,9,.333,.444,.339,28.0,33.3,13.6,.281,.463,.316,50.0
2020,4-Seamer,,6.1,9,144,29.6,35,.387,.935,.566,14.1,5.7,5.3,.402,.889,.554,55.2
2020,Slider,,1.7,2,103,21.1,26,.250,.400,.392,48.7,34.6,25.7,.193,.288,.324,9.1
2020,Sinker,,-1.0,-1,101,20.7,22,.286,.476,.402,16.7,13.6,15.8,.302,.505,.364,38.9
2020,Changeup,,-3.5,-2,50,10.3,8,.125,.125,.113,62.1,75.0,35.3,.134,.222,.146,50.0
2020,Curveball,,2.8,1,49,10.1,13,.167,.667,.431,50.0,53.8,35.0,.232,.738,.417,60.0
2020,Cutter,,-1.4,0,30,6.2,8,.000,.000,.088,36.4,37.5,33.3,.027,.032,.111,0.0
2020,Splitter,,-4.2,0,10,2.1,2,.000,.000,.000,66.7,100.0,28.6,--,--,.000,--
2019,4-Seamer,,2.0,12,607,31.7,150,.305,.672,.470,21.4,29.3,23.5,.329,.748,.478,65.9
2019,Slider,,-0.9,-4,419,21.9,92,.158,.434,.322,55.1,43.5,28.0,.199,.469,.346,58.3
2019,Sinker,,2.5,7,286,14.9,75,.394,.606,.475,17.1,13.3,13.3,.339,.555,.414,57.1
2019,Changeup,,-0.3,-1,214,11.2,50,.175,.300,.302,62.1,32.0,25.0,.168,.356,.312,29.2
2019,Curveball,,0.5,1,169,8.8,31,.250,.393,.318,48.3,51.6,25.8,.272,.487,.351,66.7
2019,Cutter,,2.0,3,139,7.3,29,.321,.571,.422,32.2,31.0,28.1,.269,.544,.345,57.9
2019,Splitter,,-1.3,0,38,2.0,7,.000,.000,.100,62.5,71.4,31.3,.151,.468,.310,100.0
2018,4-Seamer,,2.0,13,643,30.3,144,.293,.612,.433,28.6,33.3,26.2,.286,.601,.432,70.0
2018,Slider,,1.4,7,497,23.4,117,.290,.490,.374,44.5,35.9,27.3,.240,.435,.343,43.3
2018,Sinker,,3.1,13,427,20.1,108,.314,.570,.460,23.6,14.8,19.8,.345,.659,.474,56.3
2018,Changeup,,-0.1,0,217,10.2,40,.156,.281,.289,51.1,27.5,18.3,.227,.454,.371,38.1
2018,Curveball,,2.8,5,182,8.6,40,.286,.600,.413,44.1,42.5,28.3,.209,.442,.327,50.0
2018,Cutter,,-0.6,-1,125,5.9,38,.243,.405,.336,34.5,34.2,30.2,.284,.402,.304,45.8
2018,Splitter,,-2.9,-1,25,1.2,6,.167,.667,.333,62.5,83.3,29.4,.118,.470,.241,100.0
2018,Knuckleball,,-2.4,0,5,0.2,1,.000,.000,.000,50.0,0.0,0.0,.120,.198,.151,0.0
2017,4-Seamer,,3.4,34,985,33.0,226,.320,.800,.521,23.1,26.5,19.7,.321,.846,.526,62.1
2017,Slider,,-0.5,-4,702,23.5,141,.161,.305,.281,51.1,43.3,24.8,.168,.306,.287,37.9
2017,Sinker,,0.7,4,560,18.7,134,.312,.651,.460,21.6,25.4,24.3,.329,.754,.494,58.7
2017,Changeup,,3.7,10,284,9.5,60,.375,.854,.553,46.0,26.7,18.2,.326,.755,.510,48.5
2017,Curveball,,3.1,8,271,9.1,61,.321,.698,.449,51.1,39.3,24.7,.297,.729,.446,66.7
2017,Cutter,,1.0,2,148,5.0,34,.310,.483,.394,41.5,23.5,22.2,.341,.587,.434,47.6
2017,Splitter,,-2.4,-1,36,1.2,11,.100,.100,.227,53.3,45.5,25.0,.230,.387,.304,20.0
