Season,Tm,LG,PA,TB,LOB,SAC,SF,BABIP,XBH,GIDP,GIDPO,NP,P/PA,K/PA,HR/PA,BB/K,ISO,ROE,WO
2016,HOU,AL,136,39,49,1,1,.269,8,5,18,496,3.647,.199,.007,.519,.108,1,0
2017,HOU,AL,39,9,13,0,0,.250,1,0,4,137,3.513,.128,.000,.200,.027,0,0
2018,HOU,AL,295,100,74,3,1,.296,21,7,38,1068,3.620,.149,.020,.727,.129,2,0
2019,HOU,AL,186,68,67,1,2,.233,15,2,17,665,3.575,.156,.038,.552,.190,0,1
2019,CHC,NL,93,25,25,0,2,.215,6,2,12,340,3.656,.194,.011,.389,.122,1,0
2019,2 Teams,,279,93,92,1,4,.227,21,4,29,1005,3.602,.168,.029,.489,.167,1,1
2020,OAK,AL,114,28,34,1,2,.284,5,0,14,408,3.579,.123,.000,1.071,.054,0,0
2021,OAK,AL,397,138,125,4,5,.304,27,2,51,1511,3.806,.128,.020,1.020,.139,2,1
2022,OAK,AL,558,166,139,5,3,.259,33,5,59,2047,3.668,.124,.013,.652,.099,1,1
7 Seasons,3 Teams,,1818,573,526,15,16,.272,116,23,213,6672,3.670,.141,.017,.708,.119,7,3
