Year,Team,Pos,OAA,,In,"Lateral
toward 3B","Lateral
toward 1B",Back,RHB,LHB,Attempts,Success Rate,"Estimated
Success Rate","Success
Rate Added"
2016,,ALL,-1,,-1,-1,0,0,0,-1,42,83%,86%,-3%
2016,,CF,0,,0,0,0,0,0,0,1,100%,99%,1%
2016,,LF,0,,0,0,0,0,0,0,34,85%,85%,0%
2016,,2B,-1,,-1,0,0,0,0,-1,7,71%,88%,-17%
2017,,ALL,0,,0,0,0,0,0,0,14,93%,92%,1%
2017,,CF,0,,0,0,0,0,0,0,4,100%,93%,7%
2017,,LF,0,,0,0,0,0,0,0,10,90%,91%,-1%
2018,,ALL,0,,1,0,-2,1,-1,1,174,86%,86%,0%
2018,,RF,0,,0,0,0,0,0,0,5,80%,78%,2%
2018,,CF,1,,0,1,-1,0,0,1,66,92%,91%,1%
2018,,LF,-1,,0,0,-1,0,-1,1,96,82%,83%,-1%
2018,,2B,-1,,0,0,0,0,0,-1,7,71%,80%,-8%
2019,,ALL,7,,2,0,3,2,6,1,172,81%,77%,4%
2019,,ALL,6,,1,1,2,2,5,1,117,80%,75%,5%
2019,,ALL,1,,1,-1,0,0,1,0,55,84%,82%,2%
2019,,RF,1,,0,0,0,0,1,0,9,78%,72%,6%
2019,,RF,1,,0,0,0,0,1,0,9,78%,72%,6%
2019,,CF,1,,0,0,0,0,1,0,24,96%,93%,3%
2019,,CF,1,,0,0,0,0,1,0,23,96%,93%,3%
2019,,CF,0,,0,0,0,0,0,0,1,100%,99%,1%
2019,,LF,2,,0,0,1,0,1,1,25,96%,89%,7%
2019,,LF,1,,0,0,1,0,1,0,15,93%,85%,8%
2019,,LF,1,,0,0,0,0,0,0,10,100%,94%,6%
2019,,2B,4,,1,-1,1,2,4,0,114,75%,72%,3%
2019,,2B,4,,1,0,1,2,4,0,79,73%,68%,5%
2019,,2B,0,,0,-1,0,0,0,0,35,80%,80%,0%
2020,,ALL,1,,1,1,-1,0,-1,2,94,73%,73%,1%
2020,,LF,0,,0,0,0,0,0,0,2,100%,97%,3%
2020,,2B,1,,1,1,-1,0,-1,2,92,73%,72%,1%
2021,,ALL,2,,3,1,-3,1,1,1,296,81%,80%,1%
2021,,LF,2,,0,2,0,1,2,0,77,90%,87%,3%
2021,,SS,0,,0,0,0,0,0,0,2,100%,83%,17%
2021,,2B,0,,3,-1,-3,0,-1,0,217,78%,78%,0%
2022,,ALL,3,,3,-2,-1,3,1,2,379,80%,80%,1%
2022,,LF,-2,,0,-3,-1,1,-3,0,128,87%,89%,-2%
2022,,2B,5,,3,1,-1,2,3,2,251,77%,75%,2%
Career,,ALL,12,,8,0,-5,8,6,5,1171,81%,80%,1%
