Team,L,Type,W,L,ERA,G,GS,SV,IP,BF,H,R,ER,HR,BB,SO,WHIP
Scranton/Wilkes-Barre RailRiders,Triple-A,Bases Empty,,,,1,,,2.1,10,1,,,0,2,4,1.29
Somerset Patriots,Double-A,Bases Empty,,,,2,,,2.1,12,3,,,0,2,4,2.14
Somerset Patriots,Double-A,Bases Loaded,,,,2,,,1.0,4,1,,,0,1,1,2.00
Scranton/Wilkes-Barre RailRiders,Triple-A,Runner at 1st,,,,1,,,0.2,3,1,,,1,0,0,1.50
Somerset Patriots,Double-A,Runner at 1st,,,,2,,,0.0,3,2,,,0,0,0,-.--
Somerset Patriots,Double-A,Runners at 1st & 2nd,,,,2,,,1.0,4,0,,,0,0,0,0.00
Somerset Patriots,Double-A,Runners at 1st & 3rd,,,,1,,,0.1,2,0,,,0,0,0,0.00
Somerset Patriots,Double-A,Runner at 2nd,,,,1,,,0.0,1,0,,,0,1,0,-.--
Somerset Patriots,Double-A,Runners at 2nd & 3rd,,,,2,,,0.1,3,1,,,0,1,0,6.00
Somerset Patriots,Double-A,Scoring Position,,,,2,,,2.2,14,2,,,0,3,1,1.88
