Season,Tm,LG,L,POS,G,GS,INN,TC,PO,A,E,DP,RF,FPCT%
2007,Eugene Emeralds,NOR,A(Short),P,10,7,33.1,4,0,4,0,0,,1.000
2008,2 Teams,,Minors,P,29,26,141.1,27,8,19,0,1,,1.000
2008,2 Teams,,Minors,P,29,26,141.1,27,8,19,0,1,,1.000
2008,Fort Wayne Wizards,MID,A(Full),P,10,10,56.0,7,3,4,0,0,,1.000
2008,Lake Elsinore Storm,CAL,A(Adv),P,19,16,85.1,20,5,15,0,1,,1.000
2009,2 Teams,,Minors,P,28,28,154.0,28,7,20,1,1,,.964
2009,2 Teams,,Minors,P,28,28,154.0,28,7,20,1,1,,.964
2009,Lake Elsinore Storm,CAL,A(Adv),P,19,19,109.0,21,6,15,0,0,,1.000
2009,San Antonio Missions,TEX,AA,P,9,9,45.0,7,1,5,1,1,,.857
2010,3 Teams,,Minors,P,29,28,160.0,21,11,8,2,0,,.905
2010,3 Teams,,Minors,P,29,28,160.0,21,11,8,2,0,,.905
2010,San Antonio Missions,TEX,AA,P,22,21,122.2,16,6,8,2,0,,.875
2010,Akron Aeros,EAS,AA,P,5,5,26.1,2,2,0,0,0,,1.000
2010,2 Teams,,AA,P,27,26,149.0,18,8,8,2,0,,.889
2010,Columbus Clippers,INT,AAA,P,2,2,11.0,3,3,0,0,0,,1.000
2011,Columbus Clippers,INT,AAA,P,27,27,150.2,21,14,7,0,0,,1.000
2012,Columbus Clippers,INT,AAA,P,21,21,125.1,27,9,16,2,2,,.926
2013,Columbus Clippers,INT,AAA,P,2,2,12.1,1,0,1,0,0,,1.000
2017,Akron RubberDucks,EAS,AA,P,1,1,5.0,2,1,1,0,1,,1.000
2019,2 Teams,,Minors,P,3,3,8.0,0,0,0,0,0,,.000
2019,2 Teams,,Minors,P,3,3,8.0,0,0,0,0,0,,.000
2019,Akron RubberDucks,EAS,AA,P,1,1,4.0,0,0,0,0,0,,.000
2019,Columbus Clippers,INT,AAA,P,2,2,4.0,0,0,0,0,0,,.000
2021,2 Teams,,Minors,P,3,2,8.0,0,0,0,0,0,,.000
2021,2 Teams,,Minors,P,3,2,8.0,0,0,0,0,0,,.000
2021,Somerset Patriots,EAS,AA,P,2,2,5.0,0,0,0,0,0,,.000
2021,Scranton/Wilkes-Barre RailRiders,INT,AAA,P,1,0,3.0,0,0,0,0,0,,.000
,2 Teams,,AAA,P,55,54,306.1,52,26,24,2,2,,.962
,3 Teams,,AA,P,40,39,208.0,27,10,14,3,2,,.889
,Lake Elsinore Storm,CAL,A+,P,38,35,194.1,41,11,30,0,1,,1.000
,Fort Wayne TinCaps,MID,A,P,10,10,56.0,7,3,4,0,0,,1.000
,Eugene Emeralds,NOR,A(Short),P,10,7,33.1,4,0,4,0,0,,1.000
,8 Teams,,Minors,P,153,145,798.0,131,50,76,5,5,,.962
Career Minors,8 Teams,,,P,153,145,798.0,131,50,76,5,5,,.962
