Team,Lg,Type,PA,AB,R,H,2B,3B,HR,RBI,BB,SO,SB,CS,HBP,AVG,OBP,SLG,OPS
Columbus Clippers,Triple-A,Bases Empty,71,62,,19,2,1,2,2,8,3,,,1,.306,.394,.468,.862
Akron RubberDucks,Double-A,Bases Empty,133,120,,42,7,2,7,7,11,14,,,2,.350,.414,.617,1.031
Columbus Clippers,Triple-A,Bases Loaded,3,3,,1,0,0,0,2,0,0,,,0,.333,.333,.333,.666
Akron RubberDucks,Double-A,Bases Loaded,7,6,,4,0,0,0,6,1,0,,,0,.667,.714,.667,1.381
Columbus Clippers,Triple-A,Runner at 1st,25,21,,6,0,0,1,2,4,2,,,0,.286,.400,.429,.829
Akron RubberDucks,Double-A,Runner at 1st,30,26,,5,0,1,0,1,3,6,,,0,.192,.276,.269,.545
Columbus Clippers,Triple-A,Runners at 1st & 2nd,9,7,,1,0,0,0,0,0,1,,,0,.143,.143,.143,.286
Akron RubberDucks,Double-A,Runners at 1st & 2nd,14,12,,3,1,0,0,2,2,2,,,0,.250,.357,.333,.690
Columbus Clippers,Triple-A,Runners at 1st & 3rd,1,1,,1,1,0,0,2,0,0,,,0,1.000,1.000,2.000,3.000
Akron RubberDucks,Double-A,Runners at 1st & 3rd,5,4,,1,0,0,0,4,0,0,,,0,.250,.200,.250,.450
Columbus Clippers,Triple-A,Runner at 2nd,6,5,,3,0,0,1,3,1,1,,,0,.600,.667,1.200,1.867
Akron RubberDucks,Double-A,Runner at 2nd,21,15,,5,3,0,0,4,4,0,,,1,.333,.500,.533,1.033
Columbus Clippers,Triple-A,Runners at 2nd & 3rd,3,2,,0,0,0,0,0,1,0,,,0,.000,.333,.000,.333
Akron RubberDucks,Double-A,Runners at 2nd & 3rd,5,4,,3,0,0,0,5,1,0,,,0,.750,.800,.750,1.550
Columbus Clippers,Triple-A,Runner at 3rd,2,2,,1,0,0,1,2,0,1,,,0,.500,.500,2.000,2.500
Akron RubberDucks,Double-A,Runner at 3rd,6,6,,2,1,0,0,2,0,1,,,0,.333,.333,.500,.833
Columbus Clippers,Triple-A,Scoring Position,24,20,,7,1,0,2,9,2,3,,,0,.350,.409,.700,1.109
Akron RubberDucks,Double-A,Scoring Position,58,47,,18,5,0,0,23,8,3,,,1,.383,.474,.489,.963
