Team,Lg,Type,PA,AB,R,H,2B,3B,HR,RBI,BB,SO,SB,CS,HBP,AVG,OBP,SLG,OPS
Columbus Clippers,Triple-A,First Inning,26,24,5,6,1,0,0,0,2,1,1,0,0,.250,.308,.292,.600
Akron RubberDucks,Double-A,First Inning,51,47,8,16,4,1,2,4,3,3,2,1,1,.340,.392,.596,.988
Columbus Clippers,Triple-A,Second Inning,8,7,1,2,1,0,1,3,1,1,0,0,0,.286,.375,.857,1.232
Akron RubberDucks,Double-A,Second Inning,7,6,0,1,1,0,0,1,1,1,0,0,0,.167,.286,.333,.619
Columbus Clippers,Triple-A,Third Inning,17,17,2,3,1,0,1,4,0,1,0,0,0,.176,.176,.412,.588
Akron RubberDucks,Double-A,Third Inning,30,29,9,11,2,0,3,9,1,3,0,0,0,.379,.400,.759,1.159
Columbus Clippers,Triple-A,Fourth Inning,7,5,0,1,0,0,0,0,2,0,0,0,0,.200,.429,.200,.629
Akron RubberDucks,Double-A,Fourth Inning,20,17,3,4,0,0,1,2,3,1,0,0,0,.235,.350,.412,.762
Columbus Clippers,Triple-A,Fifth Inning,15,11,5,4,0,1,0,0,4,0,0,0,0,.364,.533,.545,1.078
Akron RubberDucks,Double-A,Fifth Inning,28,26,0,7,0,0,0,2,1,2,0,1,0,.269,.286,.269,.555
Columbus Clippers,Triple-A,Sixth Inning,15,12,4,5,0,0,1,3,3,2,0,0,0,.417,.533,.667,1.200
Akron RubberDucks,Double-A,Sixth Inning,20,16,8,8,0,1,0,2,3,4,1,0,1,.500,.600,.625,1.225
Columbus Clippers,Triple-A,Seventh Inning,11,9,2,3,0,0,0,0,1,1,1,0,0,.333,.400,.333,.733
Akron RubberDucks,Double-A,Seventh Inning,27,21,3,5,1,1,0,5,5,6,1,0,0,.238,.385,.381,.766
Columbus Clippers,Triple-A,Eighth Inning,11,11,3,5,0,0,2,3,0,2,0,0,0,.455,.455,1.000,1.455
Akron RubberDucks,Double-A,Eighth Inning,21,18,7,10,2,0,1,3,3,0,0,0,0,.556,.619,.833,1.452
Columbus Clippers,Triple-A,Ninth Inning,10,7,1,3,0,0,0,0,1,0,0,0,1,.429,.556,.429,.985
Akron RubberDucks,Double-A,Ninth Inning,12,11,1,3,2,0,0,2,1,2,0,0,0,.273,.333,.455,.788
Akron RubberDucks,Double-A,Extra Innings,5,2,3,0,0,0,0,1,1,1,0,0,1,.000,.500,.000,.500
