,Season,Tm,LG,G,PA,AB,R,H,2B,3B,HR,RBI,BB,SO,SB,CS,HBP,AVG,OBP,SLG,OPS
,2011,CHC,NL,37,62,60,3,15,2,0,0,4,1,12,0,0,0,.250,.262,.283,.545
,2012,COL,NL,81,247,229,26,68,12,4,2,22,13,42,1,2,0,.297,.332,.410,.742
,2013,COL,NL,109,434,404,39,113,21,3,2,28,19,67,18,7,1,.280,.311,.361,.672
,2014,COL,NL,149,538,494,59,132,15,5,5,42,33,97,10,10,2,.267,.315,.348,.663
*,2015,COL,NL,150,620,564,85,170,21,5,6,61,50,107,23,3,1,.301,.358,.388,.746
,2016,COL,NL,146,635,552,104,192,32,8,11,66,66,80,11,7,3,.348,.416,.495,.911
*,2017,COL,NL,155,682,609,95,189,28,4,8,64,59,90,6,5,6,.310,.374,.409,.783
,2018,COL,NL,128,581,533,90,147,32,2,15,62,37,82,6,5,2,.276,.321,.428,.749
*,2019,NYY,AL,145,655,602,109,197,33,2,26,102,46,90,5,2,2,.327,.375,.518,.893
,2020,NYY,AL,50,216,195,41,71,10,2,10,27,18,21,3,0,2,.364,.421,.590,1.011
,2021,NYY,AL,150,679,597,84,160,24,1,10,57,73,94,4,2,4,.268,.349,.362,.711
,2022,NYY,AL,125,541,467,74,122,18,0,12,46,67,71,4,3,4,.261,.357,.377,.734
,12 Seasons,3 Teams,,1425,5890,5306,809,1576,248,36,107,581,482,853,91,46,27,.297,.356,.418,.774
