Season,Tm,LG,POS,G,GS,INN,TC,PO,A,E,DP,RF,FPCT%
2011,CHC,NL,1B,1,1,8.0,8,8,0,0,1,,1.000
2011,CHC,NL,2B,15,8,77.2,38,16,22,0,5,,1.000
2011,CHC,NL,3B,11,6,60.0,22,6,12,4,5,,.818
2012,COL,NL,1B,1,0,3.0,1,1,0,0,0,,1.000
2012,COL,NL,2B,67,60,509.0,311,105,204,2,33,,.994
2012,COL,NL,3B,9,5,46.0,10,2,8,0,0,,1.000
2012,COL,NL,SS,2,0,2.0,0,0,0,0,0,,.000
2013,COL,NL,1B,1,0,1.0,2,2,0,0,0,,1.000
2013,COL,NL,2B,90,86,750.0,442,168,271,3,57,,.993
2013,COL,NL,3B,14,9,100.2,30,6,24,0,2,,1.000
2013,COL,NL,SS,1,0,1.0,0,0,0,0,0,,.000
2014,COL,NL,1B,1,0,1.0,0,0,0,0,0,,.000
2014,COL,NL,2B,144,135,1179.2,676,257,413,6,99,,.991
2014,COL,NL,3B,7,4,38.1,7,2,5,0,0,,1.000
2014,COL,NL,SS,1,0,1.0,0,0,0,0,0,,.000
2015,COL,NL,2B,149,146,1284.0,761,300,452,9,120,,.988
2016,COL,NL,2B,146,144,1242.2,704,276,422,6,91,,.991
2017,COL,NL,2B,153,151,1302.0,729,251,470,8,106,,.989
2018,COL,NL,2B,128,127,1115.0,591,209,378,4,90,,.993
2019,NYY,AL,1B,40,28,262.0,236,215,19,2,24,,.992
2019,NYY,AL,2B,75,66,579.2,275,118,155,2,32,,.993
2019,NYY,AL,3B,52,47,400.0,109,18,87,4,7,,.963
2019,NYY,AL,DH,1,1,0.0,0,0,0,0,0,,.000
2020,NYY,AL,1B,11,1,24.0,24,24,0,0,1,,1.000
2020,NYY,AL,2B,37,34,270.2,137,51,82,4,19,,.971
2020,NYY,AL,3B,11,11,87.0,28,10,16,2,2,,.929
2020,NYY,AL,DH,1,1,0.0,0,0,0,0,0,,.000
2021,NYY,AL,1B,55,33,321.0,300,286,13,1,21,,.997
2021,NYY,AL,2B,83,77,663.0,275,117,156,2,48,,.993
2021,NYY,AL,3B,39,36,299.0,86,18,62,6,6,,.930
2021,NYY,AL,DH,1,1,0.0,0,0,0,0,0,,.000
2022,NYY,AL,1B,35,31,265.0,244,230,13,1,16,,.996
2022,NYY,AL,2B,41,35,312.2,146,53,91,2,21,,.986
2022,NYY,AL,3B,47,43,385.2,130,23,106,1,7,,.992
2022,NYY,AL,DH,7,7,0.0,0,0,0,0,0,,.000
12 Seasons,3 Teams,,1B,145,94,885.0,815,766,45,4,63,,.995
,3 Teams,,2B,1128,1069,9286.0,5085,1921,3116,48,721,,.991
,3 Teams,,3B,190,161,1416.2,422,85,320,17,29,,.960
,COL,NL,SS,4,0,4.0,0,0,0,0,0,,.000
,NYY,AL,DH,10,10,0.0,0,0,0,0,0,,.000
