Season,Tm,LG,L,POS,G,GS,INN,TC,PO,A,E,DP,RF,FPCT%
2009,2 Teams,,Minors,DH,6,6,0.0,0,0,0,0,0,,.000
2009,2 Teams,,Minors,2B,10,10,89.2,41,18,22,1,8,,.976
2009,2 Teams,,Minors,SS,25,25,230.0,115,39,73,3,7,,.974
2009,2 Teams,,Minors,DH,6,6,0.0,0,0,0,0,0,,.000
2009,2 Teams,,Minors,2B,10,10,89.2,41,18,22,1,8,,.976
2009,2 Teams,,Minors,SS,25,25,230.0,115,39,73,3,7,,.974
2009,2 Teams,,Minors,DH,6,6,0.0,0,0,0,0,0,,.000
2009,2 Teams,,Minors,2B,10,10,89.2,41,18,22,1,8,,.976
2009,2 Teams,,Minors,SS,25,25,230.0,115,39,73,3,7,,.974
2009,AZL Cubs,AZL,ROK,2B,1,1,9.0,2,1,1,0,0,,1.000
2009,AZL Cubs,AZL,ROK,SS,1,1,8.0,5,2,2,1,0,,.800
2009,AZL Cubs,AZL,ROK,DH,1,1,0.0,0,0,0,0,0,,.000
2009,Peoria Chiefs,MID,A(Full),2B,9,9,80.2,39,17,21,1,8,,.974
2009,Peoria Chiefs,MID,A(Full),SS,24,24,222.0,110,37,71,2,7,,.982
2009,Peoria Chiefs,MID,A(Full),DH,5,5,0.0,0,0,0,0,0,,.000
2010,Daytona Cubs,FSL,A(Adv),2B,65,64,548.1,308,114,191,3,36,,.990
2010,Daytona Cubs,FSL,A(Adv),3B,39,38,336.1,109,18,86,5,5,,.954
2010,Daytona Cubs,FSL,A(Adv),SS,25,24,233.0,115,34,76,5,15,,.957
2010,Daytona Cubs,FSL,A(Adv),DH,9,9,0.0,0,0,0,0,0,,.000
2011,2 Teams,,Minors,3B,61,49,444.2,144,33,111,0,8,,1.000
2011,2 Teams,,Minors,2B,51,46,378.2,243,101,137,5,38,,.979
2011,2 Teams,,Minors,3B,61,49,444.2,144,33,111,0,8,,1.000
2011,2 Teams,,Minors,2B,51,46,378.2,243,101,137,5,38,,.979
