Season,Pitches,Zone %,Zone Swing %,Zone Contact %,Chase %,Chase Contact %,Edge %,1st Pitch Swing %,Swing %,Whiff %,Meatball %,Meatball Swing %
2015,"1,578",47.6,74.4,85.2,30.0,67.7,41.8,33.8,51.1,18.0,7.2,86.0
2016,"2,552",47.2,69.0,86.7,28.4,71.5,41.9,24.1,47.6,17.1,7.8,78.9
2017,"2,727",47.4,67.8,90.5,28.9,70.9,42.8,22.3,47.4,15.3,6.9,72.9
2018,"2,920",45.4,67.8,87.7,29.8,72.0,43.7,20.4,47.1,17.5,6.3,68.9
2019,"2,426",47.7,72.3,89.5,32.1,68.8,42.1,27.0,51.4,17.0,6.9,77.2
2020,"1,118",44.9,72.3,87.1,29.9,63.0,42.8,28.2,48.9,20.3,8.2,87.0
2021,"2,096",47.5,70.9,82.3,26.1,61.0,43.2,30.6,47.4,23.2,6.8,86.0
2022,"2,829",46.8,68.1,85.5,29.9,59.8,43.3,23.7,47.8,22.9,6.7,75.7
Player,"18,246",46.9,69.8,87.0,29.4,67.3,42.8,25.4,48.4,18.7,7.0,77.9
MLB,,48.5,66.9,82.0,28.4,58.3,42.6,29.5,47.1,24.7,7.2,76.1
