Team,Lg,Type,PA,AB,R,H,2B,3B,HR,RBI,BB,SO,SB,CS,HBP,AVG,OBP,SLG,OPS
San Diego Padres,MLB,First Inning,148,129,25,35,8,0,6,13,19,34,0,0,0,.271,.365,.473,.838
San Diego Padres,MLB,Second Inning,11,10,1,2,0,0,0,0,1,4,0,0,0,.200,.273,.200,.473
San Diego Padres,MLB,Third Inning,94,85,14,35,5,0,7,20,9,16,0,0,0,.412,.468,.718,1.186
San Diego Padres,MLB,Fourth Inning,60,52,11,17,2,0,4,11,7,14,3,0,1,.327,.417,.596,1.013
San Diego Padres,MLB,Fifth Inning,81,75,12,32,8,1,5,21,5,12,2,1,0,.427,.457,.760,1.217
San Diego Padres,MLB,Sixth Inning,63,55,11,14,3,0,3,7,7,13,2,0,0,.255,.333,.473,.806
San Diego Padres,MLB,Seventh Inning,74,68,10,16,5,0,3,12,6,14,0,0,0,.235,.297,.441,.738
San Diego Padres,MLB,Eighth Inning,57,53,9,9,1,0,3,9,4,14,2,0,0,.170,.228,.358,.586
San Diego Padres,MLB,Ninth Inning,50,47,3,11,4,0,1,8,3,11,0,0,0,.234,.280,.383,.663
San Diego Padres,MLB,Extra Innings,6,4,4,1,1,0,0,1,2,1,0,0,0,.250,.500,.500,1.000
