Season,Tm,LG,POS,G,GS,INN,TC,PO,A,E,DP,RF,FPCT%
2012,BAL,AL,3B,51,51,468.0,151,44,102,5,4,,.967
2013,BAL,AL,3B,156,156,1390.0,484,116,355,13,42,,.973
2014,BAL,AL,3B,82,82,737.1,238,61,168,9,17,,.962
2015,BAL,AL,3B,156,156,1367.2,488,132,337,19,38,,.961
2015,BAL,AL,SS,7,6,53.0,21,4,15,2,3,,.905
2016,BAL,AL,3B,114,114,998.0,329,86,236,7,26,,.979
2016,BAL,AL,SS,45,43,380.0,207,76,125,6,33,,.971
2017,BAL,AL,3B,156,156,1370.0,425,114,297,14,37,,.967
2018,BAL,AL,SS,96,96,837.0,396,141,247,8,54,,.980
2018,LAD,NL,SS,51,49,424.1,167,53,110,4,19,,.976
2018,LAD,NL,3B,16,16,143.0,54,13,40,1,2,,.981
2018,2 Teams,,SS,147,145,1261.1,563,194,357,12,73,,.979
2019,SD,NL,3B,119,119,1040.0,277,79,187,11,18,,.960
2019,SD,NL,SS,37,35,299.0,110,40,67,3,11,,.973
2020,SD,NL,3B,56,56,464.0,151,44,105,2,10,,.987
2020,SD,NL,DH,4,4,0.0,0,0,0,0,0,,.000
2021,SD,NL,3B,144,144,1238.1,368,94,261,13,34,,.965
2021,SD,NL,DH,3,3,0.0,0,0,0,0,0,,.000
2022,SD,NL,3B,134,132,1143.0,321,93,217,11,27,,.966
2022,SD,NL,DH,15,15,0.0,0,0,0,0,0,,.000
11 Seasons,3 Teams,,3B,1184,1182,10359.1,3286,876,2305,105,255,,.968
,3 Teams,,SS,236,229,1993.1,901,314,564,23,120,,.974
,SD,NL,DH,22,22,0.0,0,0,0,0,0,,.000
