Season,GB %,FB %,LD %,PU %,Pull %,Straight %,Oppo %,Weak %,Topped %,Under %,Flare/Burner %,Solid %,Barrel %,Barrel/PA
2015,45.6,20.5,24.8,9.1,36.6,39.8,23.7,1.5,34.8,25.4,23.3,5.5,7.6,5.6
2016,37.9,23.8,27.2,11.0,39.8,36.0,24.0,3.6,27.8,25.9,23.6,8.6,9.3,7.0
2017,42.2,24.8,22.3,10.7,37.6,38.5,23.9,5.0,28.6,26.3,21.2,8.4,10.5,8.0
2018,40.0,26.8,24.0,9.2,34.7,39.8,25.3,1.9,29.8,27.8,21.6,7.7,11.3,8.5
2019,42.2,25.8,21.4,10.6,31.4,41.1,27.5,1.5,32.7,27.1,22.7,8.0,8.0,5.6
2020,38.2,24.1,27.2,10.5,44.5,30.4,25.1,2.1,25.7,29.3,27.7,3.7,11.0,8.3
2021,39.5,25.4,26.4,8.7,38.3,40.0,21.8,2.7,27.9,24.7,24.1,7.0,13.3,9.8
2022,37.6,23.7,29.1,9.6,40.7,33.1,26.2,2.9,27.5,25.5,24.4,9.8,9.8,6.8
Player,40.6,24.4,25.1,9.9,37.4,38.0,24.6,2.7,29.7,26.3,23.2,7.6,10.0,7.4
MLB,44.9,23.1,25.0,7.1,36.8,37.7,25.4,3.8,33.0,24.6,24.4,5.7,6.7,4.6
