Team,Lg,Type,PA,AB,R,H,2B,3B,HR,RBI,BB,SO,SB,CS,HBP,AVG,OBP,SLG,OPS
Baltimore Orioles,MLB,April,84,76,5,17,4,0,1,8,6,20,0,0,0,.224,.274,.316,.590
Baltimore Orioles,MLB,May,118,102,11,37,2,1,2,10,13,16,0,0,3,.363,.449,.461,.910
Baltimore Orioles,MLB,June,93,83,14,19,8,0,4,12,6,23,0,0,4,.229,.312,.470,.782
Baltimore Orioles,MLB,July,106,93,9,22,2,0,3,11,10,27,0,0,2,.237,.321,.355,.676
Houston Astros,MLB,August,83,77,9,16,2,0,6,17,5,25,0,0,0,.208,.253,.468,.721
Houston Astros,MLB,September,90,75,8,12,5,0,2,5,13,20,0,0,1,.160,.289,.307,.596
Houston Astros,MLB,October,13,13,0,1,0,0,0,0,0,4,0,0,0,.077,.077,.077,.154
Baltimore Orioles,MLB,Pre All-Star,361,321,35,89,16,1,9,37,29,76,0,0,9,.277,.352,.417,.769
Houston Astros,MLB,Post All-Star,186,165,17,29,7,0,8,22,18,49,0,0,1,.176,.258,.364,.622
Baltimore Orioles,MLB,Post All-Star,40,33,4,6,0,0,1,4,6,10,0,0,0,.182,.300,.273,.573
