Team,Lg,Type,PA,AB,R,H,2B,3B,HR,RBI,BB,SO,SB,CS,HBP,AVG,OBP,SLG,OPS
Norfolk Tides,Triple-A,First Inning,88,73,10,21,5,0,1,7,14,19,0,0,1,.288,.409,.397,.806
Bowie Baysox,Double-A,First Inning,17,16,5,6,3,0,2,4,0,5,0,0,1,.375,.412,.938,1.350
Norfolk Tides,Triple-A,Second Inning,46,45,7,12,4,0,4,6,1,11,0,0,0,.267,.283,.622,.905
Bowie Baysox,Double-A,Second Inning,4,3,0,1,0,0,0,1,1,1,0,0,0,.333,.500,.333,.833
Norfolk Tides,Triple-A,Third Inning,52,43,13,15,3,1,3,9,9,13,1,0,0,.349,.462,.674,1.136
Bowie Baysox,Double-A,Third Inning,8,7,0,2,0,0,0,0,1,0,0,0,0,.286,.375,.286,.661
Norfolk Tides,Triple-A,Fourth Inning,72,66,4,17,3,2,0,5,4,15,1,2,1,.258,.306,.364,.670
Bowie Baysox,Double-A,Fourth Inning,7,6,3,3,0,0,1,2,1,2,0,0,0,.500,.571,1.000,1.571
Norfolk Tides,Triple-A,Fifth Inning,43,37,7,10,2,2,1,6,6,7,0,0,0,.270,.372,.514,.886
Bowie Baysox,Double-A,Fifth Inning,8,6,3,2,1,0,1,2,2,2,0,0,0,.333,.500,1.000,1.500
Norfolk Tides,Triple-A,Sixth Inning,71,68,6,19,1,0,1,4,3,13,0,0,0,.279,.310,.338,.648
Bowie Baysox,Double-A,Sixth Inning,8,7,1,0,0,0,0,1,1,2,0,0,0,.000,.125,.000,.125
Norfolk Tides,Triple-A,Seventh Inning,47,45,1,11,0,0,0,3,2,11,0,0,0,.244,.277,.244,.521
Bowie Baysox,Double-A,Seventh Inning,11,7,4,2,0,0,2,3,3,2,0,0,1,.286,.545,1.143,1.688
Norfolk Tides,Triple-A,Eighth Inning,63,56,6,16,1,0,2,7,6,20,0,0,1,.286,.365,.411,.776
Bowie Baysox,Double-A,Eighth Inning,4,3,1,1,0,0,0,0,1,1,0,0,0,.333,.500,.333,.833
Norfolk Tides,Triple-A,Ninth Inning,36,33,4,9,0,0,1,4,2,9,0,0,1,.273,.333,.364,.697
Bowie Baysox,Double-A,Ninth Inning,8,8,1,2,0,0,1,1,0,2,0,0,0,.250,.250,.625,.875
Norfolk Tides,Triple-A,Extra Innings,20,19,2,5,3,0,0,3,1,6,0,0,0,.263,.300,.421,.721
