Team,Lg,Type,PA,AB,R,H,2B,3B,HR,RBI,BB,SO,SB,CS,HBP,AVG,OBP,SLG,OPS
Arizona Diamondbacks,MLB,First Inning,111,102,12,22,9,0,3,5,8,29,1,1,0,.216,.270,.392,.662
Arizona Diamondbacks,MLB,Second Inning,28,25,3,4,4,0,0,3,2,8,0,0,1,.160,.250,.320,.570
Arizona Diamondbacks,MLB,Third Inning,61,50,10,7,4,0,2,5,11,12,0,0,0,.140,.295,.340,.635
Arizona Diamondbacks,MLB,Fourth Inning,62,59,10,20,6,0,1,7,1,10,0,0,2,.339,.371,.492,.863
Arizona Diamondbacks,MLB,Fifth Inning,55,47,5,8,3,0,1,8,8,4,0,0,0,.170,.291,.298,.589
Arizona Diamondbacks,MLB,Sixth Inning,67,56,9,13,5,1,2,3,9,11,1,0,2,.232,.358,.464,.822
Arizona Diamondbacks,MLB,Seventh Inning,57,54,6,19,5,1,1,10,3,7,0,0,0,.352,.386,.537,.923
Arizona Diamondbacks,MLB,Eighth Inning,70,59,7,16,4,0,2,7,9,12,2,0,0,.271,.357,.441,.798
Arizona Diamondbacks,MLB,Ninth Inning,42,37,3,9,2,0,0,3,3,7,1,0,1,.243,.310,.297,.607
Arizona Diamondbacks,MLB,Extra Innings,5,3,3,0,0,0,0,1,1,1,0,0,0,.000,.200,.000,.200
