Team,Lg,Type,PA,AB,R,H,2B,3B,HR,RBI,BB,SO,SB,CS,HBP,AVG,OBP,SLG,OPS
Toledo Mud Hens,Triple-A,Bases Empty,6,6,,1,0,0,1,1,0,2,,,0,.167,.167,.667,.834
Lakeland Flying Tigers,Class A Advanced,Bases Empty,6,6,,1,1,0,0,0,0,1,,,0,.167,.167,.333,.500
Toledo Mud Hens,Triple-A,Runner at 1st,5,4,,0,0,0,0,0,1,1,,,0,.000,.200,.000,.200
Lakeland Flying Tigers,Class A Advanced,Runner at 1st,1,1,,1,0,0,0,0,0,0,,,0,1.000,1.000,1.000,2.000
Toledo Mud Hens,Triple-A,Runners at 1st & 2nd,1,1,,0,0,0,0,0,0,0,,,0,.000,.000,.000,.000
Toledo Mud Hens,Triple-A,Runners at 1st & 3rd,2,1,,0,0,0,0,1,0,0,,,0,.000,.000,.000,.000
Toledo Mud Hens,Triple-A,Runner at 2nd,2,1,,0,0,0,0,0,1,1,,,0,.000,.500,.000,.500
Lakeland Flying Tigers,Class A Advanced,Runner at 2nd,1,1,,1,0,0,1,2,0,0,,,0,1.000,1.000,4.000,5.000
Toledo Mud Hens,Triple-A,Runner at 3rd,2,2,,0,0,0,0,0,0,2,,,0,.000,.000,.000,.000
Toledo Mud Hens,Triple-A,Scoring Position,7,5,,0,0,0,0,1,1,3,,,0,.000,.143,.000,.143
Lakeland Flying Tigers,Class A Advanced,Scoring Position,1,1,,1,0,0,1,2,0,0,,,0,1.000,1.000,4.000,5.000
