Season,Tm,LG,POS,G,GS,INN,TC,PO,A,E,DP,RF,FPCT%
2011,HOU,NL,LF,51,51,436.1,98,92,5,1,2,,.990
2011,HOU,NL,RF,1,1,9.0,1,1,0,0,0,,1.000
2012,HOU,NL,LF,100,97,833.0,142,131,9,2,0,,.986
2012,HOU,NL,DH,5,5,0.0,0,0,0,0,0,,.000
2013,HOU,AL,LF,50,46,377.2,69,65,3,1,1,,.986
2013,HOU,AL,RF,25,21,186.0,35,33,1,1,0,,.971
2013,HOU,AL,DH,12,9,0.0,0,0,0,0,0,,.000
2014,DET,AL,LF,83,83,689.0,154,149,1,4,0,,.974
2014,DET,AL,RF,34,24,242.2,49,49,0,0,0,,1.000
2014,DET,AL,DH,5,5,0.0,0,0,0,0,0,,.000
2015,DET,AL,RF,148,147,1306.1,282,265,15,2,3,,.993
2015,DET,AL,DH,10,10,0.0,0,0,0,0,0,,.000
2016,DET,AL,RF,118,118,1027.1,210,201,3,6,0,,.971
2016,DET,AL,DH,1,1,0.0,0,0,0,0,0,,.000
2017,DET,AL,RF,53,52,438.0,102,98,2,2,2,,.980
2017,DET,AL,DH,4,4,0.0,0,0,0,0,0,,.000
2017,AZ,NL,RF,60,60,507.2,102,99,1,2,0,,.980
2017,AZ,NL,DH,1,1,0.0,0,0,0,0,0,,.000
2017,2 Teams,,RF,113,112,945.2,204,197,3,4,2,,.980
2017,2 Teams,,DH,5,5,0.0,0,0,0,0,0,,.000
2018,BOS,AL,LF,32,32,280.0,52,51,1,0,0,,1.000
2018,BOS,AL,RF,25,25,213.0,67,65,2,0,1,,1.000
2018,BOS,AL,DH,93,93,0.0,0,0,0,0,0,,.000
2019,BOS,AL,LF,15,13,119.2,25,22,2,1,0,,.960
2019,BOS,AL,RF,24,24,211.0,49,45,2,2,2,,.959
2019,BOS,AL,DH,107,107,0.0,0,0,0,0,0,,.000
2020,BOS,AL,LF,3,3,22.0,6,6,0,0,0,,1.000
2020,BOS,AL,RF,4,3,30.0,3,3,0,0,0,,1.000
2020,BOS,AL,DH,48,48,0.0,0,0,0,0,0,,.000
2021,BOS,AL,LF,30,28,247.1,58,54,3,1,1,,.983
2021,BOS,AL,RF,8,7,52.0,10,9,1,0,0,,1.000
2021,BOS,AL,DH,113,113,0.0,0,0,0,0,0,,.000
2022,BOS,AL,DH,139,139,0.0,0,0,0,0,0,,.000
12 Seasons,4 Teams,,RF,500,482,4223.0,910,868,27,15,8,,.984
,4 Teams,,DH,538,535,0.0,0,0,0,0,0,,.000
,3 Teams,,LF,364,353,3005.0,604,570,24,10,4,,.983
