Season,Pitches,Zone %,Zone Swing %,Zone Contact %,Chase %,Chase Contact %,Edge %,1st Pitch Swing %,Swing %,Whiff %,Meatball %,Meatball Swing %
2015,"2,605",47.3,74.3,77.7,33.3,52.1,42.4,41.9,52.7,30.8,7.3,83.7
2016,"2,022",47.6,75.6,81.0,31.3,48.2,42.0,40.0,52.4,29.3,8.5,87.1
2017,"1,911",49.4,76.0,74.9,27.4,51.9,43.8,41.4,51.4,31.2,7.7,87.7
2018,"2,519",46.3,74.7,79.2,29.3,55.6,43.0,37.4,50.3,28.2,7.0,88.0
2019,"2,463",45.9,72.6,83.5,29.8,51.8,44.0,36.9,49.5,26.7,7.2,89.7
2020,898,49.0,73.9,79.7,30.8,53.9,41.5,37.6,51.9,28.1,7.6,83.8
2021,"2,410",48.0,76.5,79.1,33.7,53.3,43.0,40.8,54.2,29.2,7.1,84.1
2022,"2,389",46.6,74.9,79.0,31.9,51.4,41.6,37.6,51.9,30.1,6.4,90.9
Player,"17,217",47.3,74.8,79.3,31.1,52.2,42.7,39.3,51.8,29.3,7.3,87.0
MLB,,48.5,66.9,82.0,28.4,58.3,42.6,29.5,47.1,24.7,7.2,76.1
