Team,Lg,Type,PA,AB,R,H,2B,3B,HR,RBI,BB,SO,SB,CS,HBP,AVG,OBP,SLG,OPS
Baltimore Orioles,MLB,First Inning,3,3,0,1,0,0,0,0,0,2,1,0,0,.333,.333,.333,.666
Baltimore Orioles,MLB,Second Inning,72,68,11,14,3,1,3,11,3,18,5,2,1,.206,.250,.412,.662
Baltimore Orioles,MLB,Third Inning,76,69,12,19,6,0,3,8,5,19,6,3,0,.275,.324,.493,.817
Baltimore Orioles,MLB,Fourth Inning,48,44,1,6,1,0,0,3,3,12,2,0,0,.136,.188,.159,.347
Baltimore Orioles,MLB,Fifth Inning,84,78,10,15,3,0,1,3,4,21,6,1,1,.192,.238,.269,.507
Baltimore Orioles,MLB,Sixth Inning,60,56,11,13,5,1,1,4,3,17,6,0,0,.232,.271,.411,.682
Baltimore Orioles,MLB,Seventh Inning,68,64,7,19,3,2,3,9,3,15,5,2,0,.297,.328,.547,.875
Baltimore Orioles,MLB,Eighth Inning,68,64,4,11,2,1,0,7,3,23,4,1,1,.172,.221,.234,.455
Baltimore Orioles,MLB,Ninth Inning,45,41,4,10,2,1,2,4,3,18,0,0,1,.244,.311,.488,.799
Baltimore Orioles,MLB,Extra Innings,9,7,3,1,0,1,0,1,0,2,0,0,1,.143,.250,.429,.679
