Season,Tm,LG,POS,G,GS,INN,TC,PO,A,E,DP,RF,FPCT%
2020,SD,NL,2B,5,1,20.0,14,5,9,0,1,,1.000
2020,SD,NL,LF,3,3,24.0,6,6,0,0,0,,1.000
2020,SD,NL,CF,1,1,7.0,2,2,0,0,0,,1.000
2020,SD,NL,RF,3,0,4.0,0,0,0,0,0,,.000
2020,SD,NL,DH,3,1,0.0,0,0,0,0,0,,.000
2021,SD,NL,3B,8,0,20.0,6,2,4,0,0,,1.000
2021,SD,NL,SS,1,0,1.0,0,0,0,0,0,,.000
2021,SD,NL,LF,5,1,22.1,2,2,0,0,0,,1.000
2021,SD,NL,RF,6,2,37.1,7,7,0,0,0,,1.000
2021,SD,NL,CF,11,6,67.0,19,19,0,0,0,,1.000
2021,BAL,AL,2B,18,12,112.0,57,17,39,1,6,,.982
2021,BAL,AL,3B,1,0,7.0,2,1,1,0,0,,1.000
2021,BAL,AL,SS,17,15,119.0,49,18,30,1,8,,.980
2021,BAL,AL,LF,1,1,6.0,0,0,0,0,0,,.000
2021,BAL,AL,RF,1,1,9.0,1,1,0,0,0,,1.000
2021,2 Teams,,3B,9,0,27.0,8,3,5,0,0,,1.000
2021,2 Teams,,SS,18,15,120.0,49,18,30,1,8,,.980
2021,2 Teams,,LF,6,2,28.1,2,2,0,0,0,,1.000
2021,2 Teams,,RF,7,3,46.1,8,8,0,0,0,,1.000
2022,BAL,AL,SS,149,142,1257.1,615,181,417,17,91,,.972
3 Seasons,2 Teams,,2B,23,13,132.0,71,22,48,1,7,,.986
,2 Teams,,3B,9,0,27.0,8,3,5,0,0,,1.000
,2 Teams,,SS,167,157,1377.1,664,199,447,18,99,,.973
,2 Teams,,LF,9,5,52.1,8,8,0,0,0,,1.000
,2 Teams,,RF,10,3,50.1,8,8,0,0,0,,1.000
,SD,NL,CF,12,7,74.0,21,21,0,0,0,,1.000
,SD,NL,DH,3,1,0.0,0,0,0,0,0,,.000
