Year,Team,Pos,OAA,,In,"Lateral
toward 3B","Lateral
toward 1B",Back,RHB,LHB,Attempts,Success Rate,"Estimated
Success Rate","Success
Rate Added"
2020,,ALL,0,,0,0,0,0,0,0,22,82%,81%,1%
2020,,CF,0,,0,0,0,0,0,0,2,100%,99%,1%
2020,,LF,0,,0,0,0,0,0,0,8,75%,77%,-2%
2020,,2B,0,,0,0,0,0,0,0,12,83%,81%,3%
2021,,ALL,-2,,1,0,-3,1,1,-2,149,77%,78%,-1%
2021,,ALL,2,,2,0,0,1,3,-1,39,87%,82%,5%
2021,,ALL,-4,,-1,0,-2,0,-2,-1,110,73%,76%,-3%
2021,,RF,0,,0,0,0,0,0,0,9,89%,87%,2%
2021,,RF,0,,0,0,0,0,0,0,8,88%,86%,2%
2021,,RF,0,,0,0,0,0,0,0,1,100%,99%,1%
2021,,CF,0,,0,0,0,0,1,-1,21,90%,88%,2%
2021,,CF,0,,0,0,0,0,1,-1,21,90%,88%,2%
2021,,LF,0,,0,-1,0,1,1,-1,3,67%,62%,5%
2021,,LF,1,,0,0,0,1,1,0,2,100%,64%,36%
2021,,LF,-1,,0,-1,0,0,0,-1,1,0%,58%,-58%
2021,,SS,-2,,-1,0,-1,0,-1,-1,48,73%,76%,-3%
2021,,SS,-2,,-1,0,-1,0,-1,-1,48,73%,76%,-3%
2021,,3B,-1,,1,-1,-1,0,-1,0,12,67%,75%,-9%
2021,,3B,1,,1,0,-1,0,1,0,8,75%,67%,8%
2021,,3B,-2,,0,-1,-1,0,-2,0,4,50%,92%,-42%
2021,,2B,0,,0,1,-1,0,0,0,56,75%,75%,0%
2021,,2B,0,,0,1,-1,0,0,0,56,75%,75%,0%
2022,,SS,11,,5,1,2,3,7,4,612,75%,73%,2%
Career,,ALL,9,,6,1,-1,4,8,1,783,75%,74%,1%
