Team,L,Type,W,L,ERA,G,GS,SV,IP,BF,H,R,ER,HR,BB,SO,WHIP
Montgomery Biscuits,Double-A,First Inning,,,9.00,4,,,4.0,19,6,4,4,1,1,3,1.75
Charlotte Stone Crabs,Class A Advanced,First Inning,,,3.38,8,,,8.0,32,6,3,3,0,2,12,1.00
Bowling Green Hot Rods,Class A,First Inning,,,3.86,10,,,9.1,39,4,4,4,0,10,8,1.50
Montgomery Biscuits,Double-A,Second Inning,,,13.50,4,,,4.0,23,11,7,6,0,2,4,3.25
Charlotte Stone Crabs,Class A Advanced,Second Inning,,,0.00,8,,,8.0,33,5,2,0,0,3,12,1.00
Bowling Green Hot Rods,Class A,Second Inning,,,6.00,9,,,9.0,40,10,6,6,0,5,15,1.67
Montgomery Biscuits,Double-A,Third Inning,,,0.00,4,,,4.0,14,2,0,0,0,0,5,0.50
Charlotte Stone Crabs,Class A Advanced,Third Inning,,,0.00,9,,,8.0,26,2,0,0,0,0,5,0.25
Bowling Green Hot Rods,Class A,Third Inning,,,3.00,9,,,9.0,40,10,4,3,2,3,13,1.44
Montgomery Biscuits,Double-A,Fourth Inning,,,8.10,4,,,3.1,18,5,3,3,0,2,4,2.10
Charlotte Stone Crabs,Class A Advanced,Fourth Inning,,,2.25,8,,,8.0,31,8,2,2,1,0,11,1.00
Bowling Green Hot Rods,Class A,Fourth Inning,,,1.00,9,,,9.0,32,3,1,1,1,3,9,0.67
Montgomery Biscuits,Double-A,Fifth Inning,,,15.43,3,,,2.1,13,5,4,4,2,1,3,2.57
Charlotte Stone Crabs,Class A Advanced,Fifth Inning,,,0.00,8,,,8.0,27,2,0,0,0,1,10,0.38
Bowling Green Hot Rods,Class A,Fifth Inning,,,0.00,10,,,10.0,35,3,0,0,0,1,20,0.40
Montgomery Biscuits,Double-A,Sixth Inning,,,0.00,1,,,0.2,3,1,0,0,0,0,2,1.50
Charlotte Stone Crabs,Class A Advanced,Sixth Inning,,,4.26,7,,,6.1,31,8,4,3,0,2,7,1.58
Bowling Green Hot Rods,Class A,Sixth Inning,,,14.73,5,,,3.2,26,8,7,6,0,6,7,3.82
Charlotte Stone Crabs,Class A Advanced,Seventh Inning,,,0.00,4,,,3.0,11,2,0,0,0,0,2,0.67
Bowling Green Hot Rods,Class A,Seventh Inning,,,0.00,1,,,1.0,3,0,0,0,0,1,0,1.00
Bowling Green Hot Rods,Class A,Eighth Inning,,,0.00,1,,,1.0,5,0,0,0,0,2,0,2.00
Bowling Green Hot Rods,Class A,Ninth Inning,,,0.00,1,,,1.0,3,0,0,0,0,0,2,0.00
