Team,Lg,Type,PA,AB,R,H,2B,3B,HR,RBI,BB,SO,SB,CS,HBP,AVG,OBP,SLG,OPS
Milwaukee Brewers,MLB,First Inning,88,84,11,22,7,0,5,16,2,16,0,0,1,.262,.284,.524,.808
Milwaukee Brewers,MLB,Second Inning,53,48,9,11,4,0,1,3,5,12,0,0,0,.229,.302,.375,.677
Milwaukee Brewers,MLB,Third Inning,64,53,5,8,1,0,3,5,10,13,0,0,1,.151,.297,.340,.637
Milwaukee Brewers,MLB,Fourth Inning,63,56,11,16,2,0,2,5,6,10,1,1,0,.286,.349,.429,.778
Milwaukee Brewers,MLB,Fifth Inning,65,54,6,11,3,0,1,13,11,16,4,0,0,.204,.338,.315,.653
Milwaukee Brewers,MLB,Sixth Inning,57,49,5,10,1,0,1,4,8,13,1,1,0,.204,.316,.286,.602
Milwaukee Brewers,MLB,Seventh Inning,64,60,6,17,4,0,0,6,3,17,0,3,0,.283,.313,.350,.663
Milwaukee Brewers,MLB,Eighth Inning,66,59,4,13,2,0,1,7,5,18,1,1,2,.220,.303,.305,.608
Milwaukee Brewers,MLB,Ninth Inning,47,41,6,12,1,0,3,9,5,7,1,0,0,.293,.362,.537,.899
Milwaukee Brewers,MLB,Extra Innings,13,11,3,2,0,0,0,1,2,2,0,0,0,.182,.308,.182,.490
