Season,Tm,LG,POS,G,GS,INN,TC,PO,A,E,DP,RF,FPCT%
2017,COL,NL,1B,7,3,32.2,39,36,3,0,0,,1.000
2017,COL,NL,2B,4,0,5.0,3,1,2,0,1,,1.000
2017,COL,NL,3B,3,0,4.1,1,0,1,0,0,,1.000
2018,COL,NL,1B,31,21,197.1,189,179,9,1,17,,.995
2018,COL,NL,2B,10,8,71.1,41,14,27,0,6,,1.000
2018,COL,NL,3B,17,8,89.0,25,7,18,0,4,,1.000
2019,COL,NL,1B,19,14,130.1,144,129,12,3,14,,.979
2019,COL,NL,2B,113,98,860.0,468,160,295,13,76,,.972
2019,COL,NL,3B,22,10,114.0,29,8,21,0,0,,1.000
2020,COL,NL,1B,12,10,89.1,93,84,8,1,15,,.989
2020,COL,NL,2B,33,28,248.0,133,43,83,7,21,,.947
2020,COL,NL,3B,14,10,84.0,37,3,32,2,2,,.946
2020,COL,NL,SS,2,0,3.0,0,0,0,0,0,,.000
2021,COL,NL,2B,52,44,368.1,210,76,132,2,28,,.990
2021,COL,NL,3B,113,95,848.2,240,64,171,5,16,,.979
2022,COL,NL,1B,1,0,1.0,2,2,0,0,0,,1.000
2022,COL,NL,2B,10,9,81.0,40,14,26,0,8,,1.000
2022,COL,NL,3B,145,132,1176.1,362,88,257,17,29,,.953
2022,COL,NL,DH,1,1,0.0,0,0,0,0,0,,.000
6 Seasons,COL,NL,1B,70,48,450.2,467,430,32,5,46,,.989
,COL,NL,2B,222,187,1633.2,895,308,565,22,140,,.975
,COL,NL,3B,314,255,2316.1,694,170,500,24,51,,.965
,COL,NL,SS,2,0,3.0,0,0,0,0,0,,.000
,COL,NL,DH,1,1,0.0,0,0,0,0,0,,.000
