Year,Pitch Type,Team,RV/100,Run Value,Pitches,%,PA,BA,SLG,wOBA,Whiff%,K%,PutAway %,xBA,xSLG,xwOBA,Hard Hit %
2022,4-Seamer,,0.6,4,664,32.2,161,.290,.435,.368,16.8,10.6,9.7,.265,.405,.347,33.1
2022,Sinker,,2.3,10,420,20.3,136,.374,.528,.416,6.8,4.4,7.8,.314,.439,.358,36.4
2022,Slider,,1.4,5,346,16.8,102,.297,.418,.362,21.8,18.6,17.3,.240,.315,.286,26.0
2022,Changeup,,1.4,4,244,11.8,73,.371,.457,.359,16.5,8.2,8.7,.294,.365,.285,28.8
2022,Cutter,,-1.8,-3,196,9.5,51,.245,.306,.260,19.3,13.7,17.9,.257,.337,.277,26.2
2022,Curveball,,1.2,2,158,7.7,48,.348,.522,.375,17.6,10.4,8.9,.321,.470,.348,23.8
2022,Splitter,,6.1,2,29,1.4,15,.400,.467,.383,16.7,6.7,20.0,.225,.255,.213,14.3
2022,N/A,,33.6,1,3,0.1,1,1.000,1.000,.900,0.0,0.0,--,.923,1.122,.905,0.0
2021,4-Seamer,,-0.9,-5,525,34.7,154,.254,.355,.313,13.4,10.4,10.3,.273,.414,.332,32.5
2021,Changeup,,-1.1,-3,230,15.2,67,.254,.365,.312,21.1,9.0,10.2,.258,.360,.295,35.1
2021,Slider,,-1.9,-4,221,14.6,58,.160,.220,.239,24.8,17.2,15.2,.248,.403,.335,30.0
2021,Sinker,,-0.7,-1,195,12.9,67,.295,.393,.337,6.5,7.5,13.2,.262,.371,.312,33.9
2021,Cutter,,-2.9,-5,163,10.8,30,.172,.241,.197,27.8,23.3,21.9,.230,.338,.260,22.7
2021,Curveball,,3.0,5,160,10.6,46,.341,.585,.428,25.9,28.3,22.0,.219,.384,.304,46.4
2021,Splitter,,-0.8,0,20,1.3,4,.250,.250,.450,25.0,25.0,11.1,.290,.330,.269,33.3
2020,4-Seamer,,-0.9,-3,291,36.2,67,.310,.466,.355,19.4,13.4,11.3,.254,.381,.325,29.4
2020,Slider,,-2.2,-3,136,16.9,30,.143,.179,.208,15.0,13.3,7.5,.166,.251,.215,20.8
2020,Sinker,,4.7,5,102,12.7,32,.400,.533,.427,3.4,9.4,10.0,.358,.500,.394,33.3
2020,Changeup,,4.2,4,102,12.7,37,.471,.647,.527,17.9,5.4,5.7,.319,.456,.366,21.9
2020,Curveball,,0.9,1,91,11.3,24,.105,.263,.275,26.7,16.7,10.0,.266,.455,.355,31.3
2020,Cutter,,5.2,3,52,6.5,10,.500,.875,.610,28.6,20.0,13.3,.381,.536,.455,16.7
2020,Splitter,,-4.0,-1,27,3.4,6,.000,.000,.117,16.7,0.0,0.0,.229,.276,.301,20.0
2020,N/A,,17.9,1,3,0.4,1,1.000,1.000,.900,0.0,0.0,0.0,.433,.492,.398,0.0
2019,4-Seamer,,0.9,7,784,37.9,192,.322,.526,.413,16.6,10.9,8.9,.300,.492,.368,38.4
2019,Sinker,,2.3,8,339,16.4,112,.386,.584,.442,9.7,8.0,10.8,.302,.492,.371,43.5
2019,Slider,,0.0,0,288,13.9,83,.250,.434,.337,26.7,24.1,17.9,.230,.416,.304,30.4
2019,Changeup,,1.8,5,267,12.9,75,.361,.514,.405,26.5,13.3,11.8,.301,.416,.323,32.3
2019,Curveball,,2.5,5,208,10.1,61,.264,.642,.417,27.0,18.0,13.1,.259,.498,.363,38.1
2019,Cutter,,1.7,2,133,6.4,28,.261,.478,.382,24.0,10.7,7.1,.270,.373,.349,20.0
2019,Splitter,,3.6,2,48,2.3,14,.214,.500,.296,25.0,7.1,9.1,.262,.479,.308,38.5
2018,4-Seamer,,-0.7,-2,329,39.3,88,.253,.320,.305,16.8,12.5,14.5,.227,.321,.297,24.2
2018,Sinker,,0.8,1,148,17.7,58,.358,.453,.396,3.5,3.4,8.0,.270,.392,.318,28.8
2018,Changeup,,3.3,4,117,14.0,32,.367,.600,.423,26.2,9.4,10.0,.270,.478,.333,32.1
2018,Slider,,1.5,2,113,13.5,32,.267,.533,.358,16.7,12.5,9.8,.245,.331,.277,30.8
2018,Curveball,,5.1,3,54,6.4,17,.529,.824,.582,26.5,5.9,5.9,.495,.713,.523,37.5
2018,Cutter,,0.1,0,33,3.9,8,.250,.250,.338,14.3,12.5,10.0,.417,.588,.431,57.1
2018,Splitter,,9.2,2,21,2.5,7,.571,.857,.614,14.3,0.0,0.0,.330,.599,.393,14.3
