Team,L,Type,W,L,ERA,G,GS,SV,IP,BF,H,R,ER,HR,BB,SO,WHIP
New York Yankees,MLB,April,0,1,2.70,4,4,0,20.0,82,14,6,6,1,5,15,0.95
New York Yankees,MLB,May,1,0,3.24,6,6,0,33.1,131,31,12,12,5,4,26,1.05
New York Yankees,MLB,June,2,0,3.66,5,5,0,32.0,130,28,13,13,3,5,23,1.03
New York Yankees,MLB,July,0,2,4.91,6,6,0,29.1,126,30,17,16,6,9,33,1.33
St. Louis Cardinals,MLB,August,4,0,1.76,5,5,0,30.2,114,21,6,6,1,4,28,0.82
St. Louis Cardinals,MLB,September,1,3,4.67,5,5,0,27.0,118,31,16,14,5,8,28,1.44
St. Louis Cardinals,MLB,October,1,0,3.00,1,1,0,6.0,23,4,2,2,0,1,5,0.83
New York Yankees,MLB,Pre All-Star,3,2,3.26,18,18,0,102.0,411,87,37,37,13,19,80,1.04
New York Yankees,MLB,Post All-Star,0,1,7.11,3,3,0,12.2,58,16,11,10,2,4,17,1.58
St. Louis Cardinals,MLB,Post All-Star,6,3,3.11,11,11,0,63.2,255,56,24,22,6,13,61,1.08
