Season,Tm,LG,L,POS,G,GS,INN,TC,PO,A,E,DP,RF,FPCT%
2005,Rome Braves,SAL,A(Full),P,26,22,124.2,19,4,14,1,1,,.947
2006,Myrtle Beach Pelicans,CAR,A(Adv),P,30,14,100.0,21,8,12,1,0,,.952
2007,Mississippi Braves,SOU,AA,P,41,6,79.2,9,3,5,1,0,,.889
2008,Richmond Braves,INT,AAA,P,13,12,79.0,13,2,11,0,0,,1.000
2009,2 Teams,,Minors,P,11,11,71.2,8,2,5,1,0,,.875
2009,2 Teams,,Minors,P,11,11,71.2,8,2,5,1,0,,.875
2009,2 Teams,,Minors,P,11,11,71.2,8,2,5,1,0,,.875
2009,Gwinnett Braves,INT,AAA,P,10,10,64.2,6,2,3,1,0,,.833
2009,Indianapolis Indians,INT,AAA,P,1,1,7.0,2,0,2,0,0,,1.000
2009,2 Teams,,AAA,P,11,11,71.2,8,2,5,1,0,,.875
2010,Indianapolis Indians,INT,AAA,P,14,14,80.0,27,7,18,2,2,,.926
2012,Indianapolis Indians,INT,AAA,P,1,1,7.2,1,0,1,0,0,,1.000
2013,3 Teams,,Minors,P,9,9,40.2,7,1,6,0,0,,1.000
2013,3 Teams,,Minors,P,9,9,40.2,7,1,6,0,0,,1.000
2013,3 Teams,,Minors,P,9,9,40.2,7,1,6,0,0,,1.000
2013,Bradenton Marauders,FSL,A(Adv),P,1,1,3.0,0,0,0,0,0,,.000
2013,Altoona Curve,EAS,AA,P,4,4,18.2,3,1,2,0,0,,1.000
2013,Indianapolis Indians,INT,AAA,P,4,4,19.0,4,0,4,0,0,,1.000
2014,Altoona Curve,EAS,AA,P,1,1,4.0,0,0,0,0,0,,.000
2015,2 Teams,,Minors,P,3,3,20.1,1,0,1,0,0,,1.000
2015,2 Teams,,Minors,P,3,3,20.1,1,0,1,0,0,,1.000
2015,2 Teams,,Minors,P,3,3,20.1,1,0,1,0,0,,1.000
2015,Altoona Curve,EAS,AA,P,1,1,7.0,1,0,1,0,0,,1.000
2015,Indianapolis Indians,INT,AAA,P,2,2,13.1,0,0,0,0,0,,.000
2017,2 Teams,,Minors,P,3,3,10.1,0,0,0,0,0,,.000
2017,2 Teams,,Minors,P,3,3,10.1,0,0,0,0,0,,.000
2017,2 Teams,,Minors,P,3,3,10.1,0,0,0,0,0,,.000
2017,Corpus Christi Hooks,TEX,AA,P,1,1,4.1,0,0,0,0,0,,.000
2017,Fresno Grizzlies,PCL,AAA,P,2,2,6.0,0,0,0,0,0,,.000
,3 Teams,,AAA,P,47,46,276.2,53,11,39,3,2,,.943
,3 Teams,,AA,P,48,13,113.2,13,4,8,1,0,,.923
,2 Teams,,A+,P,31,15,103.0,21,8,12,1,0,,.952
,Rome Braves,SAL,A,P,26,22,124.2,19,4,14,1,1,,.947
,9 Teams,,Minors,P,152,96,618.0,106,27,73,6,3,,.943
,9 Teams,,Minors,P,152,96,618.0,106,27,73,6,3,,.943
Career Minors,9 Teams,,,P,152,96,618.0,106,27,73,6,3,,.943
