Year,Pitch Type,Team,RV/100,Run Value,Pitches,%,PA,BA,SLG,wOBA,Whiff%,K%,PutAway %,xBA,xSLG,xwOBA,Hard Hit %
2022,4-Seamer,,0.2,1,756,32.3,178,.235,.438,.314,27.1,28.1,21.9,.281,.587,.391,62.3
2022,Slider,,-0.6,-4,630,26.9,170,.222,.379,.293,38.6,27.6,20.5,.247,.454,.333,35.2
2022,Sinker,,-0.5,-2,329,14.1,91,.277,.373,.320,17.7,12.1,16.2,.342,.536,.408,50.0
2022,Curveball,,4.0,9,231,9.9,55,.364,.691,.454,24.6,18.2,11.2,.341,.659,.429,37.8
2022,Changeup,,1.0,2,200,8.5,61,.291,.418,.346,37.5,36.1,26.8,.251,.405,.323,45.5
2022,Cutter,,-2.7,-5,168,7.2,44,.184,.263,.205,27.2,22.7,22.2,.200,.294,.259,25.8
2022,Splitter,,-5.9,-2,26,1.1,9,.111,.444,.222,50.0,44.4,28.6,.215,.376,.251,80.0
2021,4-Seamer,,0.9,6,734,32.0,179,.256,.596,.388,26.8,24.6,18.3,.271,.562,.384,48.3
2021,Slider,,1.1,6,541,23.6,137,.260,.443,.324,40.4,32.1,22.8,.212,.375,.268,33.3
2021,Sinker,,-1.1,-4,352,15.3,98,.270,.438,.342,21.1,17.3,18.3,.264,.498,.359,50.7
2021,Changeup,,-3.5,-9,250,10.9,77,.171,.257,.226,40.9,32.5,29.1,.202,.288,.241,19.1
2021,Curveball,,-0.6,-1,229,10.0,53,.245,.472,.303,34.1,45.3,27.0,.214,.423,.269,37.9
2021,Cutter,,4.3,7,164,7.1,33,.433,.900,.573,24.7,12.1,9.8,.388,.674,.473,34.6
2021,Splitter,,2.0,1,25,1.1,7,.000,.000,.300,40.0,42.9,18.8,.043,.057,.330,0.0
2020,4-Seamer,,-1.6,-3,162,31.2,41,.297,.405,.345,25.5,19.5,16.7,.289,.441,.348,44.8
2020,Slider,,1.4,2,108,20.8,37,.286,.429,.354,40.0,29.7,26.2,.249,.403,.301,45.8
2020,Curveball,,3.5,3,73,14.0,18,.412,.471,.408,41.0,22.2,19.0,.267,.351,.293,23.1
2020,Sinker,,6.7,5,70,13.5,20,.563,.813,.628,7.1,10.0,11.8,.324,.479,.380,60.0
2020,Changeup,,3.1,1,47,9.0,15,.154,.615,.373,29.6,20.0,18.8,.272,.671,.393,36.4
2020,Cutter,,-1.7,-1,45,8.7,7,.167,.167,.229,33.3,28.6,14.3,.076,.181,.189,25.0
2020,Splitter,,6.8,1,15,2.9,2,1.000,1.000,.900,40.0,0.0,0.0,.172,.173,.166,0.0
