Season,Tm,LG,L,POS,G,GS,INN,TC,PO,A,E,DP,RF,FPCT%
2015,Aberdeen IronBirds,NYP,A(Short),CF,66,65,577.0,128,126,1,1,1,,.992
2015,Aberdeen IronBirds,NYP,A(Short),DH,2,2,0.0,0,0,0,0,0,,.000
2016,Delmarva Shorebirds,SAL,A(Full),CF,122,121,1044.0,298,287,7,4,3,,.987
2016,Delmarva Shorebirds,SAL,A(Full),DH,2,2,0.0,0,0,0,0,0,,.000
2017,Bowie Baysox,EAS,AA,LF,8,8,66.0,16,16,0,0,0,,1.000
2017,Bowie Baysox,EAS,AA,CF,57,57,492.1,172,169,3,0,1,,1.000
2017,Bowie Baysox,EAS,AA,RF,7,7,58.0,11,11,0,0,0,,1.000
2017,Bowie Baysox,EAS,AA,DH,2,2,0.0,0,0,0,0,0,,.000
2018,2 Teams,,Minors,CF,103,102,879.2,273,266,3,4,2,,.985
2018,2 Teams,,Minors,CF,103,102,879.2,273,266,3,4,2,,.985
2018,2 Teams,,Minors,CF,103,102,879.2,273,266,3,4,2,,.985
2018,Bowie Baysox,EAS,AA,LF,3,2,20.0,3,3,0,0,0,,1.000
2018,Bowie Baysox,EAS,AA,CF,43,42,368.1,115,111,1,3,1,,.974
2018,Bowie Baysox,EAS,AA,DH,3,3,0.0,0,0,0,0,0,,.000
2018,Norfolk Tides,INT,AAA,CF,60,60,511.1,158,155,2,1,1,,.994
2019,2 Teams,,Minors,LF,25,24,209.0,46,41,2,3,0,,.935
2019,2 Teams,,Minors,DH,7,7,0.0,0,0,0,0,0,,.000
2019,2 Teams,,Minors,CF,87,85,739.0,221,218,2,1,0,,.995
2019,2 Teams,,Minors,LF,25,24,209.0,46,41,2,3,0,,.935
2019,2 Teams,,Minors,DH,7,7,0.0,0,0,0,0,0,,.000
2019,2 Teams,,Minors,CF,87,85,739.0,221,218,2,1,0,,.995
2019,2 Teams,,Minors,LF,25,24,209.0,46,41,2,3,0,,.935
2019,2 Teams,,Minors,DH,7,7,0.0,0,0,0,0,0,,.000
2019,2 Teams,,Minors,CF,87,85,739.0,221,218,2,1,0,,.995
2019,Bowie Baysox,EAS,AA,LF,19,18,154.1,39,34,2,3,0,,.923
2019,Bowie Baysox,EAS,AA,CF,31,29,258.1,77,76,1,0,0,,1.000
2019,Bowie Baysox,EAS,AA,DH,3,3,0.0,0,0,0,0,0,,.000
2019,Norfolk Tides,INT,AAA,LF,6,6,54.2,7,7,0,0,0,,1.000
2019,Norfolk Tides,INT,AAA,CF,56,56,480.2,144,142,1,1,0,,.993
2019,Norfolk Tides,INT,AAA,DH,4,4,0.0,0,0,0,0,0,,.000
,Norfolk Tides,INT,AAA,LF,6,6,54.2,7,7,0,0,0,,1.000
,Norfolk Tides,INT,AAA,CF,116,116,992.0,302,297,3,2,1,,.993
,Norfolk Tides,INT,AAA,DH,4,4,0.0,0,0,0,0,0,,.000
,Bowie Baysox,EAS,AA,LF,30,28,240.1,58,53,2,3,0,,.948
,Bowie Baysox,EAS,AA,CF,131,128,1119.0,364,356,5,3,2,,.992
,Bowie Baysox,EAS,AA,RF,7,7,58.0,11,11,0,0,0,,1.000
,Bowie Baysox,EAS,AA,DH,8,8,0.0,0,0,0,0,0,,.000
,Delmarva Shorebirds,CAR,A,CF,122,121,1044.0,298,287,7,4,3,,.987
,Delmarva Shorebirds,CAR,A,DH,2,2,0.0,0,0,0,0,0,,.000
,Aberdeen IronBirds,SAL,A(Short),CF,66,65,577.0,128,126,1,1,1,,.992
,Aberdeen IronBirds,SAL,A(Short),DH,2,2,0.0,0,0,0,0,0,,.000
,2 Teams,,Minors,LF,36,34,295.0,65,60,2,3,0,,.954
,4 Teams,,Minors,CF,435,430,3732.0,1092,1066,16,10,7,,.991
,1 Teams,,Minors,RF,7,7,58.0,11,11,0,0,0,,1.000
,4 Teams,,Minors,DH,16,16,0.0,0,0,0,0,0,,.000
,2 Teams,,Minors,LF,36,34,295.0,65,60,2,3,0,,.954
,4 Teams,,Minors,CF,435,430,3732.0,1092,1066,16,10,7,,.991
,1 Teams,,Minors,RF,7,7,58.0,11,11,0,0,0,,1.000
,4 Teams,,Minors,DH,16,16,0.0,0,0,0,0,0,,.000
,2 Teams,,Minors,LF,36,34,295.0,65,60,2,3,0,,.954
,4 Teams,,Minors,CF,435,430,3732.0,1092,1066,16,10,7,,.991
,1 Teams,,Minors,RF,7,7,58.0,11,11,0,0,0,,1.000
Career Minors,4 Teams,,,DH,16,16,0.0,0,0,0,0,0,,.000
