Team,Lg,Type,PA,AB,R,H,2B,3B,HR,RBI,BB,SO,SB,CS,HBP,AVG,OBP,SLG,OPS
AZL Athletics Gold,Rookie,Home Games,21,18,6,5,1,0,1,1,3,1,0,0,0,.278,.381,.500,.881
AZL Athletics Green,Rookie,Home Games,5,2,1,1,0,0,0,0,3,1,0,0,0,.500,.800,.500,1.300
Las Vegas Aviators,Triple-A,Home Games,63,53,12,19,3,1,5,18,7,10,0,0,1,.358,.429,.736,1.165
AZL Athletics Gold,Rookie,Away Games,11,10,2,1,1,0,0,0,1,3,0,0,0,.100,.182,.200,.382
Las Vegas Aviators,Triple-A,Away Games,77,67,13,18,3,0,5,12,8,21,0,1,1,.269,.351,.537,.888
Las Vegas Aviators,Triple-A,Day Games,17,15,3,2,0,0,0,0,2,3,0,1,0,.133,.235,.133,.368
AZL Athletics Gold,Rookie,Night Games,32,28,8,6,2,0,1,1,4,4,0,0,0,.214,.313,.393,.706
AZL Athletics Green,Rookie,Night Games,5,2,1,1,0,0,0,0,3,1,0,0,0,.500,.800,.500,1.300
Las Vegas Aviators,Triple-A,Night Games,123,105,22,35,6,1,10,30,13,28,0,0,2,.333,.407,.695,1.102
AZL Athletics Gold,Rookie,Leading Off,8,8,,4,1,0,0,0,0,0,,,0,.500,.500,.625,1.125
AZL Athletics Green,Rookie,Leading Off,2,1,,1,0,0,0,0,1,0,,,0,1.000,1.000,1.000,2.000
Las Vegas Aviators,Triple-A,Leading Off,28,24,,4,1,0,1,1,4,7,,,0,.167,.286,.333,.619
AZL Athletics Gold,Rookie,Late / Close,6,4,,1,0,0,0,0,2,1,,,0,.250,.500,.250,.750
Las Vegas Aviators,Triple-A,Late / Close,13,12,,7,2,0,2,6,1,0,,,0,.583,.615,1.250,1.865
