Team,L,Type,W,L,ERA,G,GS,SV,IP,BF,H,R,ER,HR,BB,SO,WHIP
Indianapolis Indians,Triple-A,First Inning,,,0.00,2,,,2.0,9,2,0,0,0,0,0,1.00
Altoona Curve,Double-A,First Inning,,,9.00,1,,,1.0,4,1,1,1,1,0,0,1.00
Bradenton Marauders,Class A Advanced,First Inning,,,9.00,1,,,1.0,4,2,1,1,0,0,0,2.00
Indianapolis Indians,Triple-A,Second Inning,,,13.50,2,,,2.0,10,4,3,3,0,0,3,2.00
Altoona Curve,Double-A,Second Inning,,,0.00,1,,,1.0,4,1,0,0,0,0,0,1.00
Bradenton Marauders,Class A Advanced,Second Inning,,,0.00,1,,,1.0,3,0,0,0,0,0,2,0.00
Indianapolis Indians,Triple-A,Third Inning,,,0.00,2,,,2.0,8,1,0,0,0,1,4,1.00
Altoona Curve,Double-A,Third Inning,,,0.00,1,,,1.0,3,0,0,0,0,0,1,0.00
Bradenton Marauders,Class A Advanced,Third Inning,,,9.00,1,,,1.0,6,3,1,1,0,0,0,3.00
Indianapolis Indians,Triple-A,Fourth Inning,,,13.50,2,,,2.0,9,3,3,3,0,0,2,1.50
Altoona Curve,Double-A,Fourth Inning,,,0.00,1,,,1.0,3,0,0,0,0,0,3,0.00
Indianapolis Indians,Triple-A,Fifth Inning,,,0.00,2,,,2.0,7,0,0,0,0,1,1,0.50
Indianapolis Indians,Triple-A,Sixth Inning,,,0.00,1,,,0.2,2,0,0,0,0,0,1,0.00
