Year,Pitch Type,Team,RV/100,Run Value,Pitches,%,PA,BA,SLG,wOBA,Whiff%,K%,PutAway %,xBA,xSLG,xwOBA,Hard Hit %
2022,4-Seamer,,1.1,11,"1,003",36.1,219,.288,.418,.388,14.6,13.2,9.9,.260,.416,.368,41.6
2022,Sinker,,0.5,3,605,21.8,158,.258,.402,.359,8.6,12.7,11.6,.268,.374,.342,41.2
2022,Slider,,1.7,7,429,15.4,116,.250,.375,.319,30.5,24.1,15.0,.218,.331,.281,28.6
2022,Changeup,,3.0,9,285,10.2,74,.239,.537,.368,25.9,18.9,16.1,.266,.494,.354,38.2
2022,Curveball,,2.3,6,248,8.9,60,.298,.404,.341,29.0,23.3,14.3,.293,.436,.335,53.5
2022,Cutter,,2.0,4,186,6.7,39,.417,.722,.503,23.6,17.9,13.0,.329,.566,.410,37.9
2022,Splitter,,-3.5,-1,25,0.9,7,.000,.000,.000,60.0,57.1,44.4,.143,.180,.141,33.3
2021,4-Seamer,,0.5,3,611,39.5,131,.295,.419,.387,21.0,22.9,18.1,.255,.366,.353,42.7
2021,Sinker,,1.4,4,289,18.7,75,.300,.517,.432,24.1,21.3,22.9,.296,.443,.392,46.7
2021,Slider,,2.4,5,208,13.4,52,.304,.500,.379,32.0,26.9,16.9,.265,.382,.321,42.4
2021,Changeup,,0.0,0,181,11.7,57,.212,.231,.246,21.4,14.0,13.3,.267,.310,.296,22.7
2021,Cutter,,2.4,3,126,8.1,36,.313,.500,.389,17.6,13.9,13.9,.275,.467,.361,51.9
2021,Curveball,,2.3,3,121,7.8,30,.346,.385,.375,20.4,20.0,13.0,.289,.373,.341,40.0
2021,Splitter,,18.2,2,12,0.8,5,.500,1.500,.970,0.0,0.0,0.0,.414,1.008,.606,75.0
2020,4-Seamer,,1.6,7,420,42.9,94,.293,.573,.437,21.3,23.4,17.5,.250,.439,.376,37.7
2020,Sinker,,-1.1,-2,147,15.0,39,.250,.281,.328,18.0,15.4,13.6,.246,.307,.326,26.9
2020,Curveball,,1.2,1,116,11.9,21,.278,.444,.367,18.6,23.8,9.8,.229,.358,.313,23.1
2020,Changeup,,0.6,1,107,10.9,31,.240,.280,.321,27.1,12.9,8.9,.244,.370,.352,14.3
2020,Slider,,-1.2,-1,106,10.8,20,.211,.526,.325,27.8,20.0,7.8,.240,.467,.316,26.7
2020,Cutter,,3.2,2,53,5.4,13,.500,1.000,.635,16.1,7.7,5.3,.429,.814,.529,72.7
2020,Splitter,,1.7,0,24,2.5,6,.250,.250,.383,28.6,16.7,9.1,.293,.695,.502,66.7
2020,N/A,,-12.5,-1,5,0.5,1,.000,.000,.000,0.0,0.0,0.0,.013,.019,.013,0.0
2019,4-Seamer,,2.2,10,460,42.4,98,.264,.528,.437,28.0,25.5,17.5,.252,.418,.390,37.5
2019,Sinker,,2.4,4,183,16.9,45,.316,.395,.357,9.7,20.0,20.5,.292,.426,.362,46.7
2019,Slider,,0.1,0,142,13.1,33,.250,.571,.374,37.3,39.4,27.7,.218,.471,.350,56.3
2019,Changeup,,-2.8,-4,127,11.7,39,.034,.034,.203,33.9,28.2,21.6,.125,.149,.269,11.1
2019,Curveball,,-0.5,0,103,9.5,21,.158,.316,.225,30.6,38.1,19.0,.127,.196,.167,16.7
2019,Cutter,,1.6,1,52,4.8,13,.182,.455,.327,24.0,30.8,22.2,.157,.203,.235,28.6
2019,Splitter,,0.4,0,19,1.7,3,.000,.000,.233,50.0,33.3,14.3,.250,.267,.383,0.0
2018,4-Seamer,,1.4,13,879,38.9,190,.281,.511,.438,24.6,26.8,18.7,.246,.413,.393,43.2
2018,Sinker,,0.9,4,439,19.4,112,.261,.489,.401,18.8,22.3,24.3,.246,.412,.357,55.2
2018,Slider,,2.9,9,295,13.0,76,.286,.540,.409,29.3,28.9,19.3,.251,.445,.366,39.0
2018,Changeup,,0.1,0,253,11.2,68,.206,.349,.284,32.0,26.5,22.5,.224,.352,.282,31.1
2018,Curveball,,0.6,1,215,9.5,40,.237,.526,.336,39.7,40.0,23.9,.172,.291,.223,31.8
2018,Cutter,,1.8,2,125,5.5,36,.323,.484,.422,24.6,22.2,19.0,.279,.397,.348,39.1
2018,Splitter,,1.8,1,44,1.9,8,.167,.333,.331,31.3,0.0,0.0,.383,.475,.454,33.3
2018,Knuckleball,,7.6,1,10,0.4,2,--,--,.700,--,0.0,0.0,--,--,.700,--
2017,4-Seamer,,1.4,5,338,35.7,79,.267,.467,.416,21.5,26.6,18.6,.254,.454,.396,37.5
2017,Sinker,,-0.9,-2,211,22.3,50,.250,.450,.364,12.2,20.0,19.6,.296,.506,.396,45.2
2017,Curveball,,0.3,0,125,13.2,20,.211,.316,.295,39.4,35.0,17.1,.212,.275,.233,25.0
2017,Slider,,-2.5,-3,111,11.7,25,.136,.136,.171,41.9,52.0,29.5,.158,.179,.193,30.0
2017,Changeup,,2.8,2,76,8.0,21,.421,.684,.495,28.6,19.0,16.7,.300,.593,.404,40.0
2017,Cutter,,-1.3,-1,44,4.7,7,.167,.167,.229,26.7,42.9,27.3,.180,.188,.239,0.0
2017,Splitter,,-4.7,-1,20,2.1,6,.200,.200,.267,25.0,16.7,12.5,.384,.767,.507,75.0
2017,Knuckleball,,3.8,1,15,1.6,3,.333,.667,.417,14.3,33.3,33.3,.222,.325,.245,0.0
