Season,Tm,LG,POS,G,GS,INN,TC,PO,A,E,DP,RF,FPCT%
2018,LAA,AL,P,10,10,51.2,7,1,6,0,1,,1.000
2018,LAA,AL,DH,82,82,0.0,0,0,0,0,0,,.000
2019,LAA,AL,DH,92,91,0.0,0,0,0,0,0,,.000
2020,LAA,AL,P,2,2,1.2,0,0,0,0,0,,.000
2020,LAA,AL,DH,40,40,0.0,0,0,0,0,0,,.000
2021,LAA,AL,P,23,23,130.1,18,11,6,1,0,,.944
2021,LAA,AL,LF,1,0,1.0,0,0,0,0,0,,.000
2021,LAA,AL,RF,6,0,7.1,0,0,0,0,0,,.000
2021,LAA,AL,DH,126,126,0.0,0,0,0,0,0,,.000
2022,LAA,AL,P,28,28,166.0,11,6,5,0,0,,1.000
2022,LAA,AL,DH,152,125,0.0,0,0,0,0,0,,.000
5 Seasons,LAA,AL,P,63,63,349.2,36,18,17,1,1,,.972
,LAA,AL,LF,1,0,1.0,0,0,0,0,0,,.000
,LAA,AL,RF,6,0,7.1,0,0,0,0,0,,.000
,LAA,AL,DH,492,464,0.0,0,0,0,0,0,,.000
