Year,Pitch Type,#,%,PA,AB,H,1B,2B,3B,HR,SO,BBE,BA,XBA,SLG,XSLG,WOBA,XWOBA,EV,LA,Whiff%,PutAway%
2022,Fastballs,"1,332",52.3,319,279,83,45,19,3,16,66,214,.297,.318,.559,.621,.403,.435,95.3,13,23.1,19.7
2022,Breaking,672,26.4,187,174,50,29,5,2,14,61,115,.287,.237,.580,.528,.384,.344,90.9,13,35.1,27.5
2022,Offspeed,542,21.3,146,133,27,16,6,1,4,34,99,.203,.248,.353,.439,.278,.330,89.2,8,30.1,21.8
2021,Fastballs,"1,297",50.2,296,252,69,32,13,1,23,84,169,.274,.290,.607,.635,.412,.434,93.1,12,30.0,25.9
2021,Breaking,799,30.9,207,180,43,14,10,4,15,71,110,.239,.258,.589,.621,.382,.404,94.8,20,40.7,27.6
2021,Offspeed,490,18.9,115,104,25,11,3,3,8,34,70,.240,.240,.558,.560,.363,.367,89.7,20,39.9,25.2
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
