Season,Tm,LG,POS,G,GS,INN,TC,PO,A,E,DP,RF,FPCT%
2016,OAK,AL,1B,4,2,20.0,24,24,0,0,2,,1.000
2016,OAK,AL,RF,5,4,37.0,7,7,0,0,0,,1.000
2017,OAK,AL,1B,43,38,349.2,383,352,29,2,41,,.995
2017,OAK,AL,RF,12,10,91.0,24,21,3,0,1,,1.000
2018,OAK,AL,1B,162,152,1403.1,1494,1403,84,7,115,,.995
2019,OAK,AL,1B,127,125,1120.2,1121,1023,90,8,95,,.993
2020,OAK,AL,1B,60,59,499.1,442,393,48,1,30,,.998
2021,OAK,AL,1B,152,152,1338.2,1235,1156,73,6,98,,.995
2021,OAK,AL,DH,4,4,0.0,0,0,0,0,0,,.000
2022,ATL,NL,1B,162,161,1441.0,1318,1209,101,8,104,,.994
7 Seasons,2 Teams,,1B,710,689,6172.2,6017,5560,425,32,485,,.995
,OAK,AL,RF,17,14,128.0,31,28,3,0,1,,1.000
,OAK,AL,DH,4,4,0.0,0,0,0,0,0,,.000
