Year,Pitch Type,Team,RV/100,Run Value,Pitches,%,PA,BA,SLG,wOBA,Whiff%,K%,PutAway %,xBA,xSLG,xwOBA,Hard Hit %
2022,4-Seamer,,1.4,14,980,33.9,228,.284,.567,.407,29.9,25.0,17.6,.265,.534,.393,54.7
2022,Slider,,0.1,1,585,20.2,134,.186,.390,.291,30.4,29.1,17.8,.215,.407,.317,43.8
2022,Sinker,,0.1,0,388,13.4,91,.268,.451,.352,25.1,18.7,20.0,.265,.421,.330,56.1
2022,Changeup,,1.2,4,325,11.2,86,.220,.549,.335,27.3,18.6,13.4,.268,.534,.358,53.0
2022,Curveball,,-0.7,-2,315,10.9,77,.225,.394,.297,33.1,35.1,24.8,.235,.450,.322,43.2
2022,Cutter,,-0.3,-1,231,8.0,58,.212,.385,.315,27.7,17.2,17.5,.218,.363,.297,45.2
2022,Splitter,,2.0,1,55,1.9,15,.267,.533,.337,22.2,26.7,22.2,.262,.383,.277,63.6
2022,N/A,,0.9,0,10,0.3,2,.000,.000,.350,0.0,0.0,0.0,.161,.179,.422,0.0
2021,4-Seamer,,0.6,6,"1,091",39.3,245,.280,.588,.409,21.2,13.5,10.6,.276,.575,.398,56.4
2021,Slider,,1.4,6,427,15.4,95,.228,.456,.359,33.9,35.8,22.2,.191,.385,.324,39.1
2021,Curveball,,0.4,1,403,14.5,88,.250,.458,.365,27.4,19.3,13.4,.245,.408,.354,48.2
2021,Sinker,,0.2,1,303,10.9,81,.279,.515,.369,16.3,14.8,14.5,.217,.393,.347,45.8
2021,Changeup,,-0.1,0,288,10.4,81,.270,.514,.338,20.1,12.3,10.9,.307,.568,.392,41.8
2021,Cutter,,3.4,7,197,7.1,53,.333,.756,.491,23.4,11.3,10.3,.334,.639,.453,46.2
2021,Splitter,,1.3,1,64,2.3,18,.250,.313,.297,8.0,5.6,4.0,.348,.492,.397,40.0
2021,N/A,,-3.8,0,1,0.0,,--,--,--,--,--,--,--,--,--,--
2020,4-Seamer,,0.2,1,396,39.5,96,.179,.410,.336,42.4,33.3,30.8,.224,.407,.349,43.5
2020,Slider,,-0.4,-1,159,15.9,33,.156,.375,.242,28.4,42.4,20.6,.138,.342,.213,38.9
2020,Changeup,,-1.0,-1,145,14.5,45,.214,.381,.303,13.6,17.8,22.2,.288,.520,.366,50.0
2020,Sinker,,4.8,5,103,10.3,25,.300,.650,.530,26.2,20.0,23.8,.296,.725,.478,53.3
2020,Curveball,,1.0,1,92,9.2,20,.118,.294,.250,46.7,45.0,27.3,.175,.381,.300,37.5
2020,Cutter,,0.9,1,91,9.1,21,.222,.556,.376,46.7,38.1,32.0,.187,.488,.335,60.0
2020,Splitter,,0.8,0,13,1.3,3,.333,.333,.300,50.0,33.3,20.0,.223,.247,.202,0.0
2020,N/A,,-6.7,0,3,0.3,,--,--,--,0.0,--,0.0,--,--,--,--
2019,4-Seamer,,0.5,4,864,37.8,195,.277,.599,.402,32.9,29.7,22.5,.276,.614,.394,57.1
2019,Sinker,,1.4,5,368,16.1,103,.291,.547,.422,22.0,17.5,18.2,.325,.608,.435,53.6
2019,Slider,,-1.0,-4,358,15.6,80,.181,.333,.253,33.8,31.3,18.0,.220,.423,.310,46.8
2019,Changeup,,1.6,5,293,12.8,65,.271,.525,.369,21.9,24.6,21.1,.274,.609,.390,32.6
2019,Curveball,,4.0,9,231,10.1,53,.300,.680,.442,29.1,32.1,19.3,.306,.642,.405,60.6
2019,Cutter,,-1.8,-2,111,4.9,26,.182,.364,.337,11.8,7.7,7.1,.217,.355,.314,35.0
2019,Splitter,,9.4,3,32,1.4,9,.444,.778,.522,26.7,22.2,18.2,.274,.415,.296,28.6
2018,4-Seamer,,-0.5,-4,931,32.7,203,.227,.459,.334,31.7,28.1,20.1,.223,.499,.342,56.8
2018,Sinker,,0.1,0,594,20.9,149,.302,.457,.379,17.3,14.1,14.5,.282,.435,.356,54.1
2018,Slider,,1.1,4,410,14.4,98,.247,.482,.369,37.9,32.7,21.5,.251,.523,.376,49.1
2018,Curveball,,1.6,6,354,12.4,71,.215,.431,.321,31.7,39.4,23.0,.215,.516,.338,37.8
2018,Changeup,,1.7,5,288,10.1,78,.246,.449,.353,23.1,14.1,13.9,.278,.530,.384,51.7
2018,Cutter,,0.6,1,174,6.1,34,.241,.345,.347,13.6,20.6,13.2,.296,.492,.391,45.5
2018,Splitter,,0.2,0,69,2.4,20,.222,.611,.378,40.0,30.0,33.3,.254,.576,.382,58.3
2018,N/A,,-4.6,0,5,0.2,1,.000,.000,.000,0.0,0.0,--,.007,.016,.011,0.0
2018,Knuckleball,,5.7,0,2,0.1,,--,--,--,--,--,--,--,--,--,--
2017,4-Seamer,,0.0,0,307,33.6,66,.222,.704,.435,36.2,33.3,27.5,.229,.600,.405,56.3
2017,Sinker,,2.1,4,197,21.6,46,.262,.762,.464,25.2,15.2,11.9,.290,.701,.435,40.0
2017,Curveball,,5.7,7,131,14.3,25,.435,.957,.592,40.0,36.0,18.8,.346,.769,.479,64.3
2017,Slider,,1.0,1,115,12.6,31,.222,.333,.300,34.0,29.0,22.5,.244,.428,.335,50.0
2017,Changeup,,-2.7,-2,84,9.2,21,.190,.333,.224,25.7,38.1,28.6,.215,.284,.212,38.5
2017,Cutter,,4.0,2,46,5.0,15,.182,.727,.513,28.6,33.3,22.7,.213,.727,.463,33.3
2017,Splitter,,4.1,1,26,2.8,8,.375,.750,.543,38.5,0.0,0.0,.336,.636,.404,50.0
2017,Knuckleball,,5.9,0,6,0.7,3,.333,.333,.300,0.0,0.0,--,.165,.400,.241,66.7
