Season,Tm,LG,PA,TB,LOB,SAC,SF,BABIP,XBH,GIDP,GIDPO,NP,P/PA,K/PA,HR/PA,BB/K,ISO,ROE,WO
2013,MIA,NL,291,107,115,1,0,.326,24,6,49,1104,3.794,.196,.010,.228,.124,3,0
2014,MIA,NL,612,257,261,0,5,.337,54,12,80,2388,3.902,.268,.038,.250,.186,6,2
2015,MIA,NL,494,176,165,0,2,.320,37,10,63,1832,3.709,.223,.020,.273,.124,0,1
2016,MIA,NL,608,252,245,0,4,.296,52,11,80,2225,3.660,.189,.038,.374,.187,10,0
2017,MIA,NL,679,336,258,0,2,.355,69,18,112,2560,3.770,.212,.054,.444,.237,1,1
2018,STL,NL,628,252,272,0,4,.309,41,10,97,2322,3.697,.175,.037,.345,.153,4,1
2019,STL,NL,549,229,253,0,1,.257,53,21,91,2260,4.117,.208,.053,.544,.231,4,0
2020,ATL,NL,267,145,112,0,1,.391,32,3,35,1074,4.022,.225,.067,.633,.298,0,0
2021,ATL,NL,208,67,76,0,0,.244,13,6,31,758,3.644,.221,.034,.413,.144,0,0
2022,ATL,NL,507,194,210,0,4,.252,42,12,68,2023,3.990,.241,.045,.254,.187,2,0
10 Seasons,3 Teams,,4843,2015,1967,1,23,.309,417,109,706,18546,3.829,.215,.040,.364,.187,30,5
