,Season,Tm,LG,G,PA,AB,R,H,2B,3B,HR,RBI,BB,SO,SB,CS,HBP,AVG,OBP,SLG,OPS
,2013,MIA,NL,70,291,275,31,73,17,4,3,32,13,57,5,1,2,.265,.303,.389,.692
,2014,MIA,NL,153,612,565,72,152,26,5,23,85,41,164,3,1,1,.269,.317,.455,.772
,2015,MIA,NL,123,494,459,47,119,27,0,10,44,30,110,2,3,3,.259,.308,.383,.691
*,2016,MIA,NL,148,608,557,75,148,23,6,23,76,43,115,0,3,4,.266,.321,.452,.773
*,2017,MIA,NL,159,679,613,93,191,30,2,37,124,64,144,1,3,0,.312,.376,.548,.924
,2018,STL,NL,148,628,582,69,163,16,2,23,88,38,110,3,0,3,.280,.325,.433,.758
,2019,STL,NL,130,549,485,80,117,23,1,29,89,62,114,12,2,1,.241,.328,.472,.800
,2020,ATL,NL,60,267,228,38,77,14,0,18,56,38,60,0,0,0,.338,.431,.636,1.067
,2021,ATL,NL,48,208,188,21,40,6,0,7,26,19,46,0,0,1,.213,.288,.356,.644
,2022,ATL,NL,124,507,470,56,106,19,0,23,56,31,122,2,1,2,.226,.274,.413,.687
,10 Seasons,3 Teams,,1163,4843,4422,582,1186,201,20,196,676,379,1042,28,14,17,.268,.327,.456,.783
