Season,GB %,FB %,LD %,PU %,Pull %,Straight %,Oppo %,Weak %,Topped %,Under %,Flare/Burner %,Solid %,Barrel %,Barrel/PA
2015,49.3,15.4,28.2,7.1,32.8,37.6,29.6,1.7,39.9,20.5,23.9,6.3,6.0,4.3
2016,44.6,21.5,27.1,6.7,33.6,43.3,23.1,2.5,32.5,24.2,25.6,5.6,7.8,5.8
2017,47.1,21.4,24.8,6.6,33.1,42.9,24.0,5.5,32.3,20.6,23.6,8.1,9.3,6.5
2018,47.7,23.9,21.0,7.4,38.0,39.7,21.8,2.5,34.5,22.5,23.7,6.9,9.7,7.3
2019,41.9,24.5,26.3,7.3,45.2,35.8,19.1,2.2,29.6,21.8,25.5,6.7,12.1,8.2
2020,37.3,26.0,27.8,8.9,42.6,33.1,24.3,2.4,21.3,22.5,30.2,8.3,15.4,9.7
2021,35.9,29.6,27.5,7.0,36.6,38.7,24.6,4.2,21.1,32.4,23.9,7.7,9.9,6.7
2022,38.4,30.7,20.7,10.2,41.2,37.2,21.6,4.3,25.6,28.7,23.9,4.0,13.1,9.1
Player,44.1,23.4,25.0,7.5,37.4,39.3,23.3,3.2,31.2,23.4,24.7,6.5,10.0,7.0
MLB,44.9,23.1,25.0,7.1,36.8,37.7,25.4,3.8,33.0,24.6,24.4,5.7,6.7,4.6
