Team,Lg,Type,PA,AB,R,H,2B,3B,HR,RBI,BB,SO,SB,CS,HBP,AVG,OBP,SLG,OPS
FCL Astros,Rookie,First Inning,6,5,1,3,0,1,0,0,1,0,0,0,0,.600,.667,1.000,1.667
Sugar Land Skeeters,Triple-A,First Inning,30,26,2,4,1,0,1,1,3,8,3,0,1,.154,.267,.308,.575
FCL Astros,Rookie,Second Inning,4,3,1,0,0,0,0,0,0,1,0,0,1,.000,.250,.000,.250
Sugar Land Skeeters,Triple-A,Second Inning,4,3,0,0,0,0,0,0,1,0,1,0,0,.000,.250,.000,.250
FCL Astros,Rookie,Third Inning,3,3,0,2,1,0,0,2,0,0,0,0,0,.667,.667,1.000,1.667
Sugar Land Skeeters,Triple-A,Third Inning,19,18,2,10,1,1,1,4,1,3,0,0,0,.556,.579,.889,1.468
FCL Astros,Rookie,Fourth Inning,2,2,0,1,0,0,0,0,0,1,0,0,0,.500,.500,.500,1.000
Sugar Land Skeeters,Triple-A,Fourth Inning,10,10,5,5,1,0,2,2,0,2,0,0,0,.500,.500,1.200,1.700
FCL Astros,Rookie,Fifth Inning,4,4,0,1,0,0,0,0,0,0,0,0,0,.250,.250,.250,.500
Sugar Land Skeeters,Triple-A,Fifth Inning,22,22,7,7,0,0,4,7,0,4,0,0,0,.318,.318,.864,1.182
FCL Astros,Rookie,Sixth Inning,3,2,0,0,0,0,0,0,1,1,0,0,0,.000,.333,.000,.333
Sugar Land Skeeters,Triple-A,Sixth Inning,14,14,1,2,1,0,0,0,0,7,0,0,0,.143,.143,.214,.357
FCL Astros,Rookie,Seventh Inning,1,0,1,0,0,0,0,0,0,0,1,0,1,.000,1.000,.000,1.000
Sugar Land Skeeters,Triple-A,Seventh Inning,13,12,1,0,0,0,0,0,0,6,0,1,1,.000,.077,.000,.077
FCL Astros,Rookie,Eighth Inning,2,2,0,0,0,0,0,0,0,2,0,0,0,.000,.000,.000,.000
Sugar Land Skeeters,Triple-A,Eighth Inning,12,9,2,4,0,1,0,2,1,2,1,0,2,.444,.583,.667,1.250
FCL Astros,Rookie,Ninth Inning,2,2,0,1,0,0,0,0,0,1,0,0,0,.500,.500,.500,1.000
Sugar Land Skeeters,Triple-A,Ninth Inning,8,7,2,2,0,0,2,3,0,3,0,0,1,.286,.375,1.143,1.518
Sugar Land Skeeters,Triple-A,Extra Innings,1,1,0,1,0,0,0,0,0,0,0,0,0,1.000,1.000,1.000,2.000
